Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1997,30,3008,WSB,Washington Bullets,Ben Wallace,"September 10, 1974",22.0,NBA,PF,34.0,0.0,197.0,4.2,12.1,0.35,0.0,0.0,,4.2,12.1,0.35,1.6,5.3,0.3,6.6,8.7,15.3,0.5,2.1,2.9,4.7,7.1,10.0,,72.0,101.0
1998,30,3008,WAS,Washington Wizards,Ben Wallace,"September 10, 1974",23.0,NBA,C,67.0,16.0,1124.0,4.0,7.6,0.52,0.0,0.0,,4.0,7.6,0.52,1.6,4.6,0.36,5.2,9.9,15.1,0.8,2.8,3.3,1.3,5.4,9.5,,107.0,98.0
1999,30,3008,WAS,Washington Wizards,Ben Wallace,"September 10, 1974",24.0,NBA,C,46.0,16.0,1231.0,5.0,8.6,0.58,0.0,0.0,,5.0,8.6,0.58,2.0,5.7,0.36,6.0,10.7,16.7,0.8,2.2,3.9,1.6,4.8,12.0,,111.0,97.0
2001,9,3008,DET,Detroit Pistons,Ben Wallace,"September 10, 1974",26.0,NBA,C,80.0,80.0,2760.0,3.9,8.1,0.49,0.0,0.1,0.25,3.9,8.0,0.49,1.5,4.4,0.34,5.6,13.8,19.3,2.3,2.0,3.4,2.1,3.5,9.4,,100.0,94.0
2002,9,3008,DET,Detroit Pistons,Ben Wallace,"September 10, 1974",27.0,NBA,C,80.0,80.0,2921.0,4.7,8.8,0.53,0.0,0.1,0.0,4.7,8.7,0.54,1.8,4.3,0.42,5.8,13.2,19.0,2.1,2.5,5.1,1.3,3.2,11.1,,117.0,93.0
2003,9,3008,DET,Detroit Pistons,Ben Wallace,"September 10, 1974",28.0,NBA,C,73.0,73.0,2873.0,4.0,8.4,0.48,0.0,0.1,0.17,4.0,8.3,0.48,1.6,3.6,0.45,5.6,16.0,21.7,2.3,2.0,4.4,1.7,3.4,9.7,,108.0,90.0
2004,9,3008,DET,Detroit Pistons,Ben Wallace,"September 10, 1974",29.0,NBA,C,81.0,81.0,3050.0,5.6,13.4,0.42,0.0,0.1,0.12,5.6,13.3,0.42,2.5,5.2,0.49,5.8,12.2,18.0,2.5,2.6,4.4,2.2,2.9,13.8,,98.0,87.0
2005,9,3008,DET,Detroit Pistons,Ben Wallace,"September 10, 1974",30.0,NBA,C,74.0,74.0,2671.0,6.1,13.4,0.45,0.0,0.2,0.11,6.1,13.2,0.46,2.7,6.3,0.43,6.0,12.6,18.6,2.5,2.2,3.6,1.7,3.3,14.9,,105.0,94.0
2006,9,3008,DET,Detroit Pistons,Ben Wallace,"September 10, 1974",31.0,NBA,C,82.0,82.0,2890.0,4.5,8.9,0.51,0.0,0.1,0.0,4.5,8.8,0.51,2.4,5.7,0.42,5.8,11.9,17.7,3.0,2.8,3.5,1.7,3.1,11.4,,112.0,95.0
2007,5,3008,CHI,Chicago Bulls,Ben Wallace,"September 10, 1974",32.0,NBA,C,77.0,77.0,2697.0,3.6,8.1,0.45,0.0,0.1,0.2,3.6,8.0,0.46,2.1,5.1,0.41,5.8,9.8,15.6,3.5,2.1,3.0,1.9,2.9,9.4,,106.0,95.0
2008,31,3008,TOT,Total After Trade,Ben Wallace,"September 10, 1974",33.0,NBA,"C,PF",72.0,72.0,2205.0,3.3,8.3,0.39,0.0,0.1,0.0,3.3,8.2,0.4,1.7,4.0,0.43,5.5,8.7,14.2,2.5,2.1,2.8,1.6,2.9,8.2,,100.0,103.0
2008,5,3008,CHI,Chicago Bulls,Ben Wallace,"September 10, 1974",33.0,NBA,C,50.0,50.0,1627.0,3.2,8.6,0.37,0.0,0.1,0.0,3.2,8.5,0.38,1.7,4.0,0.42,5.5,8.4,14.0,2.9,2.2,2.5,1.6,2.7,8.1,,99.0,104.0
2008,6,3008,CLE,Cleveland Cavaliers,Ben Wallace,"September 10, 1974",33.0,NBA,PF,22.0,22.0,578.0,3.4,7.5,0.46,0.0,0.0,,3.4,7.5,0.46,1.8,4.1,0.43,5.4,9.6,15.0,1.2,1.8,3.4,1.7,3.2,8.6,,104.0,102.0
2009,6,3008,CLE,Cleveland Cavaliers,Ben Wallace,"September 10, 1974",34.0,NBA,PF,56.0,53.0,1314.0,2.8,6.4,0.44,0.0,0.0,,2.8,6.4,0.44,1.1,2.6,0.42,5.6,9.3,14.9,1.8,2.0,3.1,1.4,3.4,6.8,,111.0,98.0
2010,9,3008,DET,Detroit Pistons,Ben Wallace,"September 10, 1974",35.0,NBA,C,69.0,67.0,1975.0,4.3,8.0,0.54,0.0,0.1,0.0,4.3,8.0,0.55,1.8,4.4,0.41,6.7,9.7,16.4,2.9,2.4,2.3,1.8,3.6,10.5,,116.0,106.0
2011,9,3008,DET,Detroit Pistons,Ben Wallace,"September 10, 1974",36.0,NBA,C,54.0,49.0,1238.0,2.9,6.5,0.45,0.0,0.1,0.5,2.9,6.4,0.45,0.8,2.5,0.33,5.6,9.6,15.2,3.1,2.3,2.3,1.9,3.5,6.7,,105.0,107.0
2012,9,3008,DET,Detroit Pistons,Ben Wallace,"September 10, 1974",37.0,NBA,C,62.0,11.0,980.0,1.9,4.7,0.4,0.1,0.2,0.25,1.8,4.5,0.4,0.9,2.6,0.34,4.4,10.3,14.8,2.4,2.6,2.8,1.9,3.3,4.7,,93.0,100.0
