Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013,17,1266,MIL,Milwaukee Bucks,John Henson,1990-12-28,22.0,NBA,PF,63.0,9.0,827.0,7.1,14.6,0.48,0.0,0.1,0.0,7.1,14.5,0.49,2.4,4.6,0.53,5.0,7.9,12.9,1.3,0.8,1.8,2.0,3.6,16.5
2014,17,1266,MIL,Milwaukee Bucks,John Henson,1990-12-28,23.0,NBA,PF,70.0,23.0,1856.0,6.7,12.4,0.54,0.0,0.0,0.0,6.7,12.4,0.54,1.8,3.4,0.51,3.3,6.3,9.6,2.2,0.8,2.3,2.2,3.6,15.1
2015,17,1266,MIL,Milwaukee Bucks,John Henson,1990-12-28,24.0,NBA,C,67.0,11.0,1228.0,5.7,10.1,0.57,0.0,0.0,,5.7,10.1,0.57,2.3,4.0,0.57,3.6,5.5,9.1,1.7,0.8,4.0,2.6,4.5,13.8
2016,17,1266,MIL,Milwaukee Bucks,John Henson,1990-12-28,25.0,NBA,C,57.0,1.0,960.0,6.1,10.9,0.56,0.0,0.0,0.0,6.1,10.9,0.57,2.6,4.4,0.59,3.3,5.0,8.3,2.0,0.7,4.1,2.4,4.9,14.9
2017,17,1266,MIL,Milwaukee Bucks,John Henson,1990-12-28,26.0,NBA,C,58.0,39.0,1123.0,5.1,9.9,0.52,0.0,0.0,0.0,5.1,9.9,0.52,2.4,3.4,0.69,2.9,6.5,9.5,1.8,0.9,2.5,1.7,4.8,12.6
2018,17,1266,MIL,Milwaukee Bucks,John Henson,1990-12-28,27.0,NBA,C,76.0,69.0,1970.0,5.2,9.2,0.57,0.0,0.1,0.14,5.2,9.0,0.58,1.6,2.9,0.57,2.7,6.6,9.4,2.1,0.8,2.0,1.5,3.7,12.2
2019,17,1266,MIL,Milwaukee Bucks,John Henson,1990-12-28,28.0,NBA,C,14.0,0.0,188.0,5.9,12.8,0.46,2.1,5.9,0.36,3.8,6.9,0.56,1.1,1.9,0.6,3.1,10.5,13.6,2.7,1.3,2.1,2.3,3.1,15.1
2020,31,1266,TOT,Total After Trade,John Henson,1990-12-28,29.0,NBA,C,40.0,8.0,600.0,5.7,10.3,0.56,0.5,2.2,0.22,5.2,8.1,0.64,1.4,2.8,0.5,2.8,7.0,9.7,3.2,1.4,2.5,2.2,4.7,13.3
2020,6,1266,CLE,Cleveland Cavaliers,John Henson,1990-12-28,29.0,NBA,C,29.0,2.0,412.0,5.3,10.5,0.51,0.5,2.7,0.19,4.8,7.8,0.62,1.5,2.9,0.52,2.8,7.2,10.0,3.8,1.4,2.8,1.8,4.8,12.7
2020,9,1266,DET,Detroit Pistons,John Henson,1990-12-28,29.0,NBA,C,11.0,6.0,188.0,6.5,9.8,0.67,0.4,1.0,0.4,6.1,8.8,0.7,1.1,2.5,0.46,2.7,6.5,9.2,2.1,1.5,1.9,2.9,4.4,14.6
