TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
NJN,47,35,.573,—,90.3,87.8,1.88
MIA,42,40,.512,5.0,90.3,89.7,-0.13
NYK,39,43,.476,8.0,92.0,93.5,-1.97
BOS,36,46,.439,11.0,95.3,96.7,-1.99
PHI,33,49,.402,14.0,88.0,90.5,-2.95
WAS,25,57,.305,22.0,91.8,97.4,-6.12
ORL,21,61,.256,26.0,94.0,101.1,-7.25
IND,61,21,.744,—,91.4,85.6,4.93
DET,54,28,.659,7.0,90.1,84.3,5.04
NOH,41,41,.500,20.0,91.8,91.9,-0.72
MIL,41,41,.500,20.0,98.0,97.0,0.42
CLE,35,47,.427,26.0,92.9,95.5,-3.07
TOR,33,49,.402,28.0,85.4,88.5,-3.42
ALT,28,54,.341,33.0,92.8,97.5,-5.00
CHI,23,59,.280,38.0,89.7,96.0,-6.69
