TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
BOS,53,29,0.65,—,108.0,105.4,2.25
CLE,51,31,0.62,2.0,110.3,107.2,2.87
TOR,51,31,0.62,2.0,106.9,102.6,3.65
WAS,49,33,0.6,4.0,109.2,107.4,1.36
ALT,43,39,0.52,10.0,103.2,104.0,-1.23
MIL,42,40,0.51,11.0,103.6,103.8,-0.45
IND,42,40,0.51,11.0,105.1,105.3,-0.64
CHI,41,41,0.5,12.0,102.9,102.4,0.03
MIA,41,41,0.5,12.0,103.2,102.1,0.77
DET,37,45,0.45,16.0,101.3,102.5,-1.29
CHO,36,46,0.44,17.0,104.9,104.7,-0.07
NYK,31,51,0.38,22.0,104.3,108.0,-3.87
ORL,29,53,0.35,24.0,101.1,107.6,-6.61
PHI,28,54,0.34,25.0,102.4,108.1,-5.83
BRK,20,62,0.24,33.0,105.8,112.5,-6.74
