TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
MIL,60,22,0.73,—,118.1,109.3,8.04
TOR,58,24,0.71,2.0,114.4,108.4,5.49
PHI,51,31,0.62,9.0,115.2,112.5,2.25
BOS,49,33,0.6,11.0,112.4,108.0,3.9
IND,48,34,0.58,12.0,108.0,104.7,2.76
BRK,42,40,0.51,18.0,112.2,112.3,-0.4
ORL,42,40,0.51,18.0,107.3,106.6,0.28
DET,41,41,0.5,19.0,107.0,107.3,-0.56
CHO,39,43,0.48,21.0,110.7,111.8,-1.32
MIA,39,43,0.48,21.0,105.7,105.9,-0.45
WAS,32,50,0.39,28.0,114.0,116.9,-3.3
ALT,29,53,0.35,31.0,113.3,119.4,-6.06
CHI,22,60,0.27,38.0,104.9,113.4,-8.32
CLE,19,63,0.23,41.0,104.5,114.1,-9.39
NYK,17,65,0.21,43.0,104.6,113.8,-8.93
