TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
MIN,58,24,.707,—,94.5,89.1,5.86
SAS,57,25,.695,1.0,91.5,84.3,7.51
DAL,52,30,.634,6.0,105.2,100.8,4.86
MEM,50,32,.610,8.0,96.7,94.3,2.95
HOU,45,37,.549,13.0,89.8,88.0,2.28
DEN,43,39,.524,15.0,97.2,96.1,1.65
UTA,42,40,.512,16.0,88.7,89.9,-0.53
LAL,56,26,.683,—,98.2,94.3,4.35
SAC,55,27,.671,1.0,102.8,97.8,5.41
POR,41,41,.500,15.0,90.7,92.0,-0.58
GSW,37,45,.451,19.0,93.3,94.0,-0.07
SEA,37,45,.451,19.0,97.1,97.8,0.02
PHO,29,53,.354,27.0,94.2,97.9,-2.94
LAC,28,54,.341,28.0,94.8,99.4,-3.74
