TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
SAS,55,27,.671,—,107.1,102.6,4.30
UTA,54,28,.659,1.0,104.0,100.7,3.18
HOU,52,30,.634,3.0,106.7,103.2,3.27
ORL,31,51,.378,24.0,105.9,109.9,-3.79
MIN,29,53,.354,26.0,99.6,103.5,-3.75
DAL,28,54,.341,27.0,99.9,104.5,-4.27
DEN,20,62,.244,35.0,119.9,130.8,-10.31
POR,63,19,.768,—,114.7,106.0,8.47
LAL,58,24,.707,5.0,106.3,99.6,6.73
PHO,55,27,.671,8.0,114.0,107.5,6.49
GSW,44,38,.537,19.0,116.6,115.0,1.72
SEA,41,41,.500,22.0,106.6,105.4,1.31
LAC,31,51,.378,32.0,103.5,107.0,-3.16
SAC,25,57,.305,38.0,96.7,103.5,-6.27
