TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
BOS,50,32,.610,—,99.2,95.6,3.37
TOR,40,42,.488,10.0,104.1,105.9,-1.83
NYK,29,53,.354,21.0,102.1,105.9,-4.01
PHI,27,55,.329,23.0,97.7,101.6,-3.93
NJN,12,70,.146,38.0,92.4,101.5,-8.93
CLE,61,21,.744,—,102.1,95.6,6.17
MIL,46,36,.561,15.0,97.7,96.0,1.37
CHI,41,41,.500,20.0,97.5,99.1,-1.64
IND,32,50,.390,29.0,100.8,103.8,-3.11
DET,27,55,.329,34.0,94.0,99.1,-5.02
ORL,59,23,.720,—,102.8,95.3,7.12
ALT,53,29,.646,6.0,101.7,97.0,4.44
MIA,47,35,.573,12.0,96.5,94.2,1.99
CHA,44,38,.537,15.0,95.3,93.8,1.30
WAS,26,56,.317,33.0,96.2,101.0,-4.72
