Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1989,27,85,SAS,San Antonio Spurs,Willie Anderson,"January 8, 1967",22.0,NBA,SF,81.0,79.0,2738.0,640.0,1285.0,0.5,4.0,21.0,0.19,636.0,1264.0,0.5,0.5,224.0,289.0,0.78,152.0,265.0,417.0,372.0,150.0,62.0,261.0,295.0,1508.0,,0.0
1990,27,85,SAS,San Antonio Spurs,Willie Anderson,"January 8, 1967",23.0,NBA,SG,82.0,81.0,2788.0,532.0,1082.0,0.49,7.0,26.0,0.27,525.0,1056.0,0.5,0.5,217.0,290.0,0.75,115.0,257.0,372.0,364.0,111.0,58.0,198.0,252.0,1288.0,,0.0
1991,27,85,SAS,San Antonio Spurs,Willie Anderson,"January 8, 1967",24.0,NBA,SG,75.0,75.0,2592.0,453.0,991.0,0.46,7.0,35.0,0.2,446.0,956.0,0.47,0.46,170.0,213.0,0.8,68.0,283.0,351.0,358.0,79.0,46.0,167.0,226.0,1083.0,,0.0
1992,27,85,SAS,San Antonio Spurs,Willie Anderson,"January 8, 1967",25.0,NBA,SG,57.0,55.0,1889.0,312.0,685.0,0.46,13.0,56.0,0.23,299.0,629.0,0.48,0.46,107.0,138.0,0.78,62.0,238.0,300.0,302.0,54.0,51.0,140.0,151.0,744.0,,1.0
1993,27,85,SAS,San Antonio Spurs,Willie Anderson,"January 8, 1967",26.0,NBA,SG,38.0,7.0,560.0,80.0,186.0,0.43,1.0,8.0,0.12,79.0,178.0,0.44,0.43,22.0,28.0,0.79,7.0,50.0,57.0,79.0,14.0,6.0,44.0,52.0,183.0,,0.0
1994,27,85,SAS,San Antonio Spurs,Willie Anderson,"January 8, 1967",27.0,NBA,SG,80.0,79.0,2488.0,394.0,837.0,0.47,22.0,68.0,0.32,372.0,769.0,0.48,0.48,145.0,171.0,0.85,68.0,174.0,242.0,347.0,71.0,46.0,153.0,187.0,955.0,,0.0
1995,27,85,SAS,San Antonio Spurs,Willie Anderson,"January 8, 1967",28.0,NBA,SG,38.0,11.0,556.0,76.0,162.0,0.47,3.0,19.0,0.16,73.0,143.0,0.51,0.48,30.0,41.0,0.73,15.0,40.0,55.0,52.0,26.0,10.0,38.0,71.0,185.0,,0.0
1996,31,85,TOT,Total After Trade,Willie Anderson,"January 8, 1967",29.0,NBA,SG,76.0,44.0,2060.0,288.0,660.0,0.44,34.0,120.0,0.28,254.0,540.0,0.47,0.46,132.0,163.0,0.81,48.0,198.0,246.0,197.0,75.0,59.0,143.0,230.0,742.0,,0.0
1996,28,85,TOR,Toronto Raptors,Willie Anderson,"January 8, 1967",29.0,NBA,SG,49.0,42.0,1564.0,232.0,527.0,0.44,29.0,95.0,0.3,203.0,432.0,0.47,0.47,113.0,132.0,0.86,35.0,151.0,186.0,149.0,58.0,51.0,119.0,171.0,606.0,,0.0
1996,20,85,NYK,New York Knicks,Willie Anderson,"January 8, 1967",29.0,NBA,SG,27.0,2.0,496.0,56.0,133.0,0.42,5.0,25.0,0.2,51.0,108.0,0.47,0.44,19.0,31.0,0.61,13.0,47.0,60.0,48.0,17.0,8.0,24.0,59.0,136.0,,0.0
1997,16,85,MIA,Miami Heat,Willie Anderson,"January 8, 1967",30.0,NBA,SG,28.0,1.0,303.0,29.0,64.0,0.45,8.0,19.0,0.42,21.0,45.0,0.47,0.52,17.0,20.0,0.85,15.0,27.0,42.0,34.0,14.0,4.0,19.0,36.0,83.0,,0.0
