Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1980,29,1618,UTA,Utah Jazz,Bernard King,1956-12-04,23.0,NBA,SF,19.0,,419.0,8.3,16.1,0.52,0.0,0.0,,8.3,16.1,0.52,4.0,7.4,0.54,2.8,7.5,10.3,6.1,0.8,0.5,5.9,7.7,20.7,94.0,111.0
1981,10,1618,GSW,Golden State Warriors,Bernard King,1956-12-04,24.0,NBA,SF,81.0,,2914.0,11.9,20.3,0.59,0.0,0.1,0.33,11.9,20.2,0.59,5.0,7.1,0.7,2.9,6.1,9.0,4.7,1.2,0.6,4.3,5.0,28.9,116.0,110.0
1982,10,1618,GSW,Golden State Warriors,Bernard King,1956-12-04,25.0,NBA,SF,79.0,77.0,2861.0,12.2,21.6,0.57,0.0,0.1,0.2,12.2,21.5,0.57,5.8,8.3,0.7,2.3,5.4,7.8,4.7,1.3,0.4,4.4,4.7,30.3,114.0,109.0
1983,20,1618,NYK,New York Knicks,Bernard King,1956-12-04,26.0,NBA,SF,68.0,68.0,2207.0,13.5,25.6,0.53,0.0,0.1,0.0,13.5,25.5,0.53,6.3,8.7,0.72,2.2,5.1,7.3,4.4,2.0,0.3,4.4,5.2,33.3,107.0,100.0
1984,20,1618,NYK,New York Knicks,Bernard King,1956-12-04,27.0,NBA,SF,77.0,76.0,2667.0,14.4,25.3,0.57,0.0,0.1,0.0,14.4,25.2,0.57,7.9,10.2,0.78,2.2,4.9,7.2,3.0,1.4,0.3,3.6,5.0,36.8,119.0,105.0
1985,20,1618,NYK,New York Knicks,Bernard King,1956-12-04,28.0,NBA,SF,55.0,55.0,2063.0,16.2,30.5,0.53,0.0,0.2,0.1,16.1,30.2,0.53,10.0,12.9,0.77,2.7,4.7,7.4,4.8,1.7,0.4,4.8,4.5,42.3,113.0,111.0
1987,20,1618,NYK,New York Knicks,Bernard King,1956-12-04,30.0,NBA,SF,6.0,4.0,214.0,11.8,23.9,0.5,0.0,0.0,,11.8,23.9,0.5,7.3,9.8,0.74,3.0,4.3,7.3,4.3,0.5,0.0,3.4,3.2,31.0,110.0,115.0
1988,30,1618,WSB,Washington Bullets,Bernard King,1956-12-04,31.0,NBA,SF,69.0,38.0,2044.0,11.2,22.5,0.5,0.0,0.1,0.17,11.2,22.3,0.5,5.9,7.8,0.76,2.1,4.6,6.7,4.6,1.2,0.2,5.1,4.8,28.4,103.0,110.0
1989,30,1618,WSB,Washington Bullets,Bernard King,1956-12-04,32.0,NBA,SF,81.0,81.0,2559.0,12.2,25.5,0.48,0.1,0.6,0.17,12.1,24.9,0.48,6.7,8.2,0.82,2.5,4.7,7.1,5.5,1.2,0.2,4.2,4.1,31.1,107.0,111.0
1990,30,1618,WSB,Washington Bullets,Bernard King,1956-12-04,33.0,NBA,SF,82.0,82.0,2687.0,12.8,26.2,0.49,0.1,0.4,0.13,12.7,25.8,0.49,7.4,9.2,0.8,2.3,4.9,7.3,6.8,0.9,0.1,4.5,4.1,33.0,108.0,112.0
1991,30,1618,WSB,Washington Bullets,Bernard King,1956-12-04,34.0,NBA,SF,64.0,64.0,2401.0,14.6,31.0,0.47,0.2,0.8,0.22,14.4,30.2,0.48,7.8,9.9,0.79,2.3,4.2,6.5,6.0,1.1,0.3,5.2,3.8,37.2,103.0,111.0
1993,3,1618,NJN,New Jersey Nets,Bernard King,1956-12-04,36.0,NBA,SF,32.0,2.0,430.0,10.6,20.6,0.51,0.2,0.8,0.29,10.3,19.8,0.52,4.5,6.6,0.68,4.1,4.8,8.8,2.1,1.3,0.3,2.4,6.2,25.9,114.0,108.0
