Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005,12,1547,IND,Indiana Pacers,James Jones,"October 4, 1980",24.0,NBA,SF,13.0,0.0,214.0,3.2,7.7,0.41,1.7,4.2,0.4,1.5,3.5,0.43,0.7,1.5,0.44,0.8,3.7,4.5,1.7,1.2,1.2,0.7,3.0,8.7
2006,24,1547,PHO,Phoenix Suns,James Jones,"October 4, 1980",25.0,NBA,SF,20.0,6.0,353.0,2.9,8.4,0.34,0.8,2.7,0.31,2.0,5.7,0.36,2.2,2.7,0.85,1.6,5.7,7.3,0.5,0.5,1.8,0.9,2.5,8.8
2007,24,1547,PHO,Phoenix Suns,James Jones,"October 4, 1980",26.0,NBA,SF,11.0,6.0,171.0,4.0,7.6,0.53,1.7,3.8,0.44,2.3,3.8,0.61,1.9,2.3,0.82,0.6,2.5,3.2,0.6,0.4,0.4,0.8,2.3,11.6
2009,16,1547,MIA,Miami Heat,James Jones,"October 4, 1980",28.0,NBA,SF,7.0,7.0,235.0,2.6,4.9,0.53,1.7,3.4,0.5,0.9,1.5,0.6,3.4,3.7,0.92,0.3,2.1,2.5,0.8,0.5,0.2,0.6,2.9,10.3
2010,16,1547,MIA,Miami Heat,James Jones,"October 4, 1980",29.0,NBA,SF,1.0,0.0,9.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0
2011,16,1547,MIA,Miami Heat,James Jones,"October 4, 1980",30.0,NBA,SF,12.0,0.0,272.0,3.2,6.8,0.47,2.3,4.9,0.46,0.9,1.9,0.5,1.7,1.7,1.0,0.4,3.6,4.0,0.3,0.8,0.3,0.5,3.2,10.3
2012,16,1547,MIA,Miami Heat,James Jones,"October 4, 1980",31.0,NBA,SG,20.0,0.0,173.0,3.3,8.9,0.37,1.9,6.2,0.3,1.5,2.7,0.54,2.1,2.1,1.0,1.0,3.1,4.2,0.4,0.6,0.2,0.8,2.5,10.6
2013,16,1547,MIA,Miami Heat,James Jones,"October 4, 1980",32.0,NBA,SF,9.0,0.0,33.0,3.3,7.6,0.43,3.3,4.4,0.75,0.0,3.3,0.0,0.0,0.0,,0.0,3.3,3.3,0.0,0.0,1.1,2.2,3.3,9.8
2014,16,1547,MIA,Miami Heat,James Jones,"October 4, 1980",33.0,NBA,SF,15.0,0.0,126.0,5.1,11.4,0.45,4.3,9.1,0.47,0.9,2.3,0.38,0.6,0.9,0.67,0.9,2.3,3.1,1.4,0.9,0.6,0.0,4.9,15.1
2015,6,1547,CLE,Cleveland Cavaliers,James Jones,"October 4, 1980",34.0,NBA,SF,20.0,0.0,311.0,3.0,8.7,0.35,2.5,7.4,0.34,0.5,1.3,0.36,1.5,1.6,0.93,0.1,3.2,3.4,1.0,0.9,0.3,0.6,4.9,10.1
2016,6,1547,CLE,Cleveland Cavaliers,James Jones,"October 4, 1980",35.0,NBA,SF,12.0,0.0,55.0,1.3,6.5,0.2,0.7,4.6,0.14,0.7,2.0,0.33,0.7,2.6,0.25,0.7,2.0,2.6,2.0,0.0,0.0,0.7,2.0,3.9
2017,6,1547,CLE,Cleveland Cavaliers,James Jones,"October 4, 1980",36.0,NBA,SF,8.0,0.0,30.0,1.2,6.0,0.2,0.0,3.6,0.0,1.2,2.4,0.5,0.0,0.0,,1.2,3.6,4.8,0.0,0.0,0.0,2.4,3.6,2.4
