Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2009,24,779,PHO,Phoenix Suns,Goran Dragic,"May 6, 1986",22.0,NBA,PG,55.0,1.0,728.0,88.0,224.0,0.39,20.0,54.0,0.37,68.0,170.0,0.4,0.44,50.0,65.0,0.77,33.0,70.0,103.0,111.0,29.0,3.0,73.0,87.0,246.0,0.0
2010,24,779,PHO,Phoenix Suns,Goran Dragic,"May 6, 1986",23.0,NBA,PG,80.0,2.0,1442.0,222.0,491.0,0.45,74.0,188.0,0.39,148.0,303.0,0.49,0.53,117.0,159.0,0.74,38.0,133.0,171.0,241.0,48.0,8.0,126.0,131.0,635.0,0.0
2011,31,779,TOT,Total After Trade,Goran Dragic,"May 6, 1986",24.0,NBA,PG,70.0,5.0,1234.0,192.0,441.0,0.44,56.0,155.0,0.36,136.0,286.0,0.48,0.5,83.0,133.0,0.62,36.0,106.0,142.0,204.0,50.0,10.0,117.0,125.0,523.0,1.0
2011,24,779,PHO,Phoenix Suns,Goran Dragic,"May 6, 1986",24.0,NBA,PG,48.0,2.0,856.0,133.0,316.0,0.42,28.0,101.0,0.28,105.0,215.0,0.49,0.46,59.0,97.0,0.61,24.0,62.0,86.0,149.0,36.0,6.0,96.0,90.0,353.0,0.0
2011,11,779,HOU,Houston Rockets,Goran Dragic,"May 6, 1986",24.0,NBA,PG,22.0,3.0,378.0,59.0,125.0,0.47,28.0,54.0,0.52,31.0,71.0,0.44,0.58,24.0,36.0,0.67,12.0,44.0,56.0,55.0,14.0,4.0,21.0,35.0,170.0,1.0
2012,11,779,HOU,Houston Rockets,Goran Dragic,"May 6, 1986",25.0,NBA,PG,66.0,28.0,1752.0,277.0,600.0,0.46,68.0,202.0,0.34,209.0,398.0,0.52,0.52,153.0,190.0,0.8,53.0,115.0,168.0,351.0,85.0,10.0,157.0,166.0,775.0,0.0
2013,24,779,PHO,Phoenix Suns,Goran Dragic,"May 6, 1986",26.0,NBA,PG,77.0,77.0,2581.0,401.0,906.0,0.44,88.0,276.0,0.32,313.0,630.0,0.5,0.49,244.0,326.0,0.75,60.0,178.0,238.0,569.0,124.0,26.0,212.0,214.0,1134.0,0.0
2014,24,779,PHO,Phoenix Suns,Goran Dragic,"May 6, 1986",27.0,NBA,SG,76.0,75.0,2668.0,552.0,1093.0,0.5,122.0,299.0,0.41,430.0,794.0,0.54,0.56,316.0,416.0,0.76,69.0,176.0,245.0,447.0,104.0,22.0,213.0,206.0,1542.0,0.0
2015,31,779,TOT,Total After Trade,Goran Dragic,"May 6, 1986",28.0,NBA,"PG,SG",78.0,78.0,2640.0,502.0,1002.0,0.5,90.0,259.0,0.35,412.0,743.0,0.56,0.55,181.0,234.0,0.77,81.0,193.0,274.0,350.0,78.0,15.0,173.0,195.0,1275.0,0.0
2015,24,779,PHO,Phoenix Suns,Goran Dragic,"May 6, 1986",28.0,NBA,SG,52.0,52.0,1735.0,340.0,679.0,0.5,66.0,186.0,0.36,274.0,493.0,0.56,0.55,97.0,130.0,0.75,51.0,134.0,185.0,211.0,50.0,9.0,114.0,120.0,843.0,0.0
2015,16,779,MIA,Miami Heat,Goran Dragic,"May 6, 1986",28.0,NBA,PG,26.0,26.0,905.0,162.0,323.0,0.5,24.0,73.0,0.33,138.0,250.0,0.55,0.54,84.0,104.0,0.81,30.0,59.0,89.0,139.0,28.0,6.0,59.0,75.0,432.0,0.0
2016,16,779,MIA,Miami Heat,Goran Dragic,"May 6, 1986",29.0,NBA,PG,72.0,72.0,2363.0,417.0,875.0,0.48,64.0,205.0,0.31,353.0,670.0,0.53,0.51,120.0,165.0,0.73,54.0,223.0,277.0,419.0,71.0,17.0,185.0,188.0,1018.0,0.0
2017,16,779,MIA,Miami Heat,Goran Dragic,"May 6, 1986",30.0,NBA,PG,73.0,73.0,2459.0,534.0,1124.0,0.48,117.0,289.0,0.4,417.0,835.0,0.5,0.53,298.0,377.0,0.79,62.0,217.0,279.0,423.0,89.0,13.0,212.0,199.0,1483.0,0.0
2018,16,779,MIA,Miami Heat,Goran Dragic,"May 6, 1986",31.0,NBA,PG,75.0,75.0,2378.0,484.0,1075.0,0.45,111.0,300.0,0.37,373.0,775.0,0.48,0.5,217.0,271.0,0.8,54.0,252.0,306.0,359.0,63.0,12.0,166.0,180.0,1296.0,0.0
2019,16,779,MIA,Miami Heat,Goran Dragic,"May 6, 1986",32.0,NBA,PG,36.0,22.0,991.0,179.0,433.0,0.41,57.0,164.0,0.35,122.0,269.0,0.45,0.48,79.0,101.0,0.78,20.0,91.0,111.0,174.0,30.0,5.0,71.0,81.0,494.0,1.0
2020,16,779,MIA,Miami Heat,Goran Dragic,"May 6, 1986",33.0,NBA,PG,59.0,3.0,1663.0,319.0,724.0,0.44,124.0,338.0,0.37,195.0,386.0,0.5,0.53,191.0,246.0,0.78,29.0,158.0,187.0,301.0,40.0,10.0,144.0,124.0,953.0,0.0
2021,16,779,MIA,Miami Heat,Goran Dragic,"May 6, 1986",34.0,NBA,PG,17.0,6.0,451.0,89.0,195.0,0.46,28.0,78.0,0.36,61.0,117.0,0.52,0.53,38.0,47.0,0.81,7.0,45.0,52.0,90.0,9.0,2.0,51.0,45.0,244.0,0.0
