Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2011,31,627,TOT,Total After Trade,Jordan Crawford,1988-10-23,22.0,NBA,SG,42.0,18.0,1027.0,192.0,500.0,0.38,33.0,128.0,0.26,159.0,372.0,0.43,0.42,73.0,84.0,0.87,31.0,74.0,105.0,117.0,39.0,3.0,83.0,63.0,490.0,1.0
2011,1,627,ATL,Atlanta Hawks,Jordan Crawford,1988-10-23,22.0,NBA,SG,16.0,0.0,160.0,27.0,77.0,0.35,9.0,27.0,0.33,18.0,50.0,0.36,0.41,4.0,6.0,0.67,9.0,19.0,28.0,15.0,3.0,0.0,15.0,13.0,67.0,0.0
2011,30,627,WAS,Washington Wizards,Jordan Crawford,1988-10-23,22.0,NBA,SG,26.0,18.0,867.0,165.0,423.0,0.39,24.0,101.0,0.24,141.0,322.0,0.44,0.42,69.0,78.0,0.88,22.0,55.0,77.0,102.0,36.0,3.0,68.0,50.0,423.0,1.0
2012,30,627,WAS,Washington Wizards,Jordan Crawford,1988-10-23,23.0,NBA,SG,64.0,32.0,1753.0,349.0,872.0,0.4,79.0,273.0,0.29,270.0,599.0,0.45,0.45,161.0,203.0,0.79,44.0,124.0,168.0,190.0,59.0,5.0,141.0,111.0,938.0,0.0
2013,31,627,TOT,Total After Trade,Jordan Crawford,1988-10-23,24.0,NBA,SG,70.0,14.0,1709.0,301.0,725.0,0.42,83.0,246.0,0.34,218.0,479.0,0.46,0.47,129.0,159.0,0.81,44.0,165.0,209.0,225.0,39.0,7.0,141.0,106.0,814.0,1.0
2013,30,627,WAS,Washington Wizards,Jordan Crawford,1988-10-23,24.0,NBA,SG,43.0,12.0,1127.0,211.0,508.0,0.42,59.0,171.0,0.34,152.0,337.0,0.45,0.47,87.0,106.0,0.82,31.0,104.0,135.0,157.0,27.0,5.0,97.0,61.0,568.0,1.0
2013,2,627,BOS,Boston Celtics,Jordan Crawford,1988-10-23,24.0,NBA,SG,27.0,2.0,582.0,90.0,217.0,0.42,24.0,75.0,0.32,66.0,142.0,0.46,0.47,42.0,53.0,0.79,13.0,61.0,74.0,68.0,12.0,2.0,44.0,45.0,246.0,0.0
2014,31,627,TOT,Total After Trade,Jordan Crawford,1988-10-23,25.0,NBA,"PG,SG",81.0,35.0,1859.0,327.0,788.0,0.42,90.0,285.0,0.32,237.0,503.0,0.47,0.47,146.0,169.0,0.86,28.0,155.0,183.0,281.0,47.0,5.0,134.0,120.0,890.0,1.0
2014,2,627,BOS,Boston Celtics,Jordan Crawford,1988-10-23,25.0,NBA,PG,39.0,35.0,1198.0,188.0,455.0,0.41,50.0,157.0,0.32,138.0,298.0,0.46,0.47,110.0,126.0,0.87,18.0,102.0,120.0,224.0,34.0,3.0,84.0,76.0,536.0,1.0
2014,10,627,GSW,Golden State Warriors,Jordan Crawford,1988-10-23,25.0,NBA,SG,42.0,0.0,661.0,139.0,333.0,0.42,40.0,128.0,0.31,99.0,205.0,0.48,0.48,36.0,43.0,0.84,10.0,53.0,63.0,57.0,13.0,2.0,50.0,44.0,354.0,0.0
2017,19,627,NOP,New Orleans Pelicans,Jordan Crawford,1988-10-23,28.0,NBA,SG,19.0,0.0,442.0,105.0,218.0,0.48,37.0,95.0,0.39,68.0,123.0,0.55,0.57,20.0,26.0,0.77,4.0,30.0,34.0,57.0,11.0,2.0,25.0,30.0,267.0,0.0
2018,19,627,NOP,New Orleans Pelicans,Jordan Crawford,1988-10-23,29.0,NBA,SG,5.0,0.0,53.0,12.0,27.0,0.44,8.0,14.0,0.57,4.0,13.0,0.31,0.59,1.0,1.0,1.0,2.0,2.0,4.0,13.0,1.0,1.0,5.0,7.0,33.0,0.0
