Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1984,29,UTA,Utah Jazz,11,J.J. Anderson,SF,6-8,195,1960-09-23,US,1,Bradley
1984,29,UTA,Utah Jazz,41,Thurl Bailey,PF,6-11,215,1961-04-07,US,R,NC State
1984,29,UTA,Utah Jazz,33,Tom Boswell,PF,6-9,220,1953-10-02,US,5,"South Carolina State, South Carolina"
1984,29,UTA,Utah Jazz,4,Adrian Dantley,SF,6-5,208,1955-02-28,US,7,Notre Dame
1984,29,UTA,Utah Jazz,22,John Drew,SF,6-6,205,1954-09-30,US,9,Gardner-Webb University
1984,29,UTA,Utah Jazz,53,Mark Eaton,C,7-4,275,1957-01-24,US,1,UCLA
1984,29,UTA,Utah Jazz,31,Jerry Eaves,PG,6-4,180,1959-02-08,US,1,Louisville
1984,29,UTA,Utah Jazz,14,Rickey Green,PG,6-0,170,1954-08-18,US,5,Michigan
1984,29,UTA,Utah Jazz,35,Darrell Griffith,SG,6-4,190,1958-06-16,US,3,Louisville
1984,29,UTA,Utah Jazz,20,Bob Hansen,SG,6-6,190,1961-01-18,US,R,Iowa
1984,29,UTA,Utah Jazz,44,Rich Kelley,C,7-0,235,1953-03-23,US,8,Stanford
1984,29,UTA,Utah Jazz,45,Jeff Wilkins,C,6-11,230,1955-03-09,US,3,Illinois State
