Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1989,23,1229,PHI,Philadelphia 76Ers,Hersey Hawkins,"September 29, 1966",22.0,NBA,SG,79.0,79.0,2577.0,442.0,971.0,0.46,71.0,166.0,0.43,371.0,805.0,0.46,0.49,241.0,290.0,0.83,51.0,174.0,225.0,239.0,120.0,37.0,158.0,184.0,1196.0,0.0
1990,23,1229,PHI,Philadelphia 76Ers,Hersey Hawkins,"September 29, 1966",23.0,NBA,SG,82.0,82.0,2856.0,522.0,1136.0,0.46,84.0,200.0,0.42,438.0,936.0,0.47,0.5,387.0,436.0,0.89,85.0,219.0,304.0,261.0,130.0,28.0,185.0,217.0,1515.0,0.0
1991,23,1229,PHI,Philadelphia 76Ers,Hersey Hawkins,"September 29, 1966",24.0,NBA,SG,80.0,80.0,3110.0,590.0,1251.0,0.47,108.0,270.0,0.4,482.0,981.0,0.49,0.52,479.0,550.0,0.87,48.0,262.0,310.0,299.0,178.0,39.0,213.0,182.0,1767.0,0.0
1992,23,1229,PHI,Philadelphia 76Ers,Hersey Hawkins,"September 29, 1966",25.0,NBA,SG,81.0,81.0,3013.0,521.0,1127.0,0.46,91.0,229.0,0.4,430.0,898.0,0.48,0.5,403.0,461.0,0.87,53.0,218.0,271.0,248.0,157.0,43.0,189.0,174.0,1536.0,0.0
1993,23,1229,PHI,Philadelphia 76Ers,Hersey Hawkins,"September 29, 1966",26.0,NBA,SG,81.0,81.0,2977.0,551.0,1172.0,0.47,122.0,307.0,0.4,429.0,865.0,0.5,0.52,419.0,487.0,0.86,91.0,255.0,346.0,317.0,137.0,30.0,180.0,189.0,1643.0,1.0
1994,4,1229,CHO,Charlotte Hornets,Hersey Hawkins,"September 29, 1966",27.0,NBA,SG,82.0,82.0,2648.0,395.0,859.0,0.46,78.0,235.0,0.33,317.0,624.0,0.51,0.5,312.0,362.0,0.86,89.0,288.0,377.0,216.0,135.0,22.0,158.0,167.0,1180.0,0.0
1995,4,1229,CHO,Charlotte Hornets,Hersey Hawkins,"September 29, 1966",28.0,NBA,SG,82.0,82.0,2731.0,390.0,809.0,0.48,131.0,298.0,0.44,259.0,511.0,0.51,0.56,261.0,301.0,0.87,60.0,254.0,314.0,262.0,122.0,18.0,150.0,178.0,1172.0,0.0
1996,21,1229,SEA,Seattle Supersonics,Hersey Hawkins,"September 29, 1966",29.0,NBA,SG,82.0,82.0,2823.0,443.0,936.0,0.47,146.0,380.0,0.38,297.0,556.0,0.53,0.55,249.0,285.0,0.87,86.0,211.0,297.0,218.0,149.0,14.0,164.0,172.0,1281.0,0.0
1997,21,1229,SEA,Seattle Supersonics,Hersey Hawkins,"September 29, 1966",30.0,NBA,SG,82.0,82.0,2755.0,369.0,795.0,0.46,143.0,355.0,0.4,226.0,440.0,0.51,0.55,258.0,295.0,0.88,92.0,228.0,320.0,250.0,159.0,12.0,130.0,146.0,1139.0,0.0
1998,21,1229,SEA,Seattle Supersonics,Hersey Hawkins,"September 29, 1966",31.0,NBA,SG,82.0,82.0,2597.0,280.0,636.0,0.44,125.0,301.0,0.42,155.0,335.0,0.46,0.54,177.0,204.0,0.87,71.0,263.0,334.0,221.0,148.0,17.0,102.0,153.0,862.0,0.0
1999,21,1229,SEA,Seattle Supersonics,Hersey Hawkins,"September 29, 1966",32.0,NBA,SG,50.0,34.0,1644.0,171.0,408.0,0.42,55.0,180.0,0.31,116.0,228.0,0.51,0.49,119.0,132.0,0.9,51.0,150.0,201.0,123.0,80.0,18.0,80.0,90.0,516.0,0.0
2000,5,1229,CHI,Chicago Bulls,Hersey Hawkins,"September 29, 1966",33.0,NBA,SG,61.0,49.0,1622.0,159.0,375.0,0.42,55.0,141.0,0.39,104.0,234.0,0.44,0.5,107.0,119.0,0.9,31.0,144.0,175.0,134.0,74.0,15.0,100.0,146.0,480.0,0.0
2001,4,1229,CHO,Charlotte Hornets,Hersey Hawkins,"September 29, 1966",34.0,NBA,SG,59.0,0.0,681.0,56.0,137.0,0.41,17.0,46.0,0.37,39.0,91.0,0.43,0.47,54.0,63.0,0.86,17.0,63.0,80.0,72.0,33.0,9.0,19.0,45.0,183.0,0.0
