Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2004,2,2289,BOS,Boston Celtics,Kendrick Perkins,1984-11-10,19.0,NBA,C,10.0,35.0,22.8,0.58,0.0,0.6,16.7,28.9,22.9,17.4,0.0,4.4,20.9,31.1,0.1,0.0,0.1,0.14,0.2,0.5,0.7,0.0
2005,2,2289,BOS,Boston Celtics,Kendrick Perkins,1984-11-10,20.0,NBA,C,60.0,548.0,11.2,0.52,0.0,0.49,11.5,25.7,18.7,5.8,0.8,5.1,22.9,15.4,-0.1,0.8,0.7,0.06,-4.3,0.4,-3.9,-0.3
2006,2,2289,BOS,Boston Celtics,Kendrick Perkins,1984-11-10,21.0,NBA,C,68.0,1332.0,13.2,0.55,0.01,0.49,13.1,23.6,18.5,8.1,0.8,6.0,24.9,14.8,0.3,2.0,2.3,0.08,-2.8,1.3,-1.5,0.2
2007,2,2289,BOS,Boston Celtics,Kendrick Perkins,1984-11-10,22.0,NBA,C,72.0,1576.0,9.5,0.52,0.01,0.37,8.4,20.1,14.1,9.4,0.8,4.7,26.5,12.2,-0.6,1.9,1.4,0.04,-4.1,1.5,-2.6,-0.3
2008,2,2289,BOS,Boston Celtics,Kendrick Perkins,1984-11-10,23.0,NBA,C,78.0,1912.0,13.3,0.63,0.0,0.53,9.6,19.3,14.8,6.8,0.9,4.9,22.6,13.5,1.9,4.3,6.2,0.16,-1.9,2.4,0.5,1.2
2009,2,2289,BOS,Boston Celtics,Kendrick Perkins,1984-11-10,24.0,NBA,C,76.0,2253.0,13.2,0.59,0.0,0.34,11.5,21.4,16.7,6.5,0.5,5.3,23.1,14.8,1.1,4.5,5.6,0.12,-1.8,1.9,0.1,1.2
2010,2,2289,BOS,Boston Celtics,Kendrick Perkins,1984-11-10,25.0,NBA,C,78.0,2154.0,15.0,0.61,0.01,0.54,9.1,24.4,16.9,6.0,0.6,4.8,20.4,17.6,1.4,3.8,5.2,0.12,-1.7,1.0,-0.7,0.7
2011,31,2289,TOT,Total After Trade,Kendrick Perkins,1984-11-10,26.0,NBA,C,29.0,742.0,9.6,0.54,0.0,0.55,10.4,26.2,18.7,5.2,0.6,2.6,25.7,13.7,-0.2,1.2,1.0,0.06,-3.6,0.6,-3.0,-0.2
2011,2,2289,BOS,Boston Celtics,Kendrick Perkins,1984-11-10,26.0,NBA,C,12.0,313.0,10.2,0.57,0.0,0.68,9.6,27.5,19.1,4.8,0.3,2.5,24.6,15.6,-0.1,0.6,0.6,0.09,-3.6,1.1,-2.5,0.0
2011,21,2289,OKC,Oklahoma City Thunder,Kendrick Perkins,1984-11-10,26.0,NBA,C,17.0,429.0,9.1,0.51,0.0,0.45,11.0,25.3,18.4,5.4,0.8,2.7,26.7,12.3,-0.1,0.6,0.4,0.05,-3.6,0.3,-3.4,-0.1
2012,21,2289,OKC,Oklahoma City Thunder,Kendrick Perkins,1984-11-10,27.0,NBA,C,65.0,1744.0,8.7,0.53,0.0,0.43,8.4,18.8,13.9,6.4,0.7,3.0,27.5,11.1,0.0,2.1,2.0,0.06,-3.0,0.9,-2.1,0.0
2013,21,2289,OKC,Oklahoma City Thunder,Kendrick Perkins,1984-11-10,28.0,NBA,C,78.0,1954.0,8.2,0.48,0.0,0.23,7.0,19.5,13.7,7.9,1.1,3.2,24.0,10.6,-0.5,3.0,2.5,0.06,-3.2,1.4,-1.8,0.1
2014,21,2289,OKC,Oklahoma City Thunder,Kendrick Perkins,1984-11-10,29.0,NBA,C,62.0,1207.0,6.3,0.47,0.0,0.35,8.0,19.9,14.2,7.6,1.1,2.2,28.8,11.5,-0.9,1.7,0.8,0.03,-5.0,0.7,-4.2,-0.7
2015,31,2289,TOT,Total After Trade,Kendrick Perkins,1984-11-10,30.0,NBA,C,68.0,1148.0,7.0,0.47,0.0,0.37,8.7,21.2,15.1,6.3,0.7,2.9,26.5,13.6,-1.2,1.3,0.1,0.01,-5.5,0.1,-5.4,-1.0
2015,21,2289,OKC,Oklahoma City Thunder,Kendrick Perkins,1984-11-10,30.0,NBA,C,51.0,981.0,7.4,0.46,0.0,0.4,8.9,21.4,15.2,6.1,0.7,3.1,25.3,12.9,-0.8,1.2,0.3,0.02,-5.0,0.3,-4.6,-0.7
2015,6,2289,CLE,Cleveland Cavaliers,Kendrick Perkins,1984-11-10,30.0,NBA,C,17.0,167.0,4.7,0.49,0.0,0.2,7.7,20.3,14.1,7.2,0.6,1.9,32.1,17.7,-0.4,0.2,-0.2,-0.06,-8.6,-1.1,-9.7,-0.3
2016,19,2289,NOP,New Orleans Pelicans,Kendrick Perkins,1984-11-10,31.0,NBA,C,37.0,542.0,6.0,0.53,0.0,0.33,4.9,21.8,13.1,7.9,1.0,1.7,32.3,10.4,-0.4,0.4,-0.1,-0.01,-5.2,0.2,-5.0,-0.4
2018,6,2289,CLE,Cleveland Cavaliers,Kendrick Perkins,1984-11-10,33.0,NBA,C,1.0,15.0,8.4,0.52,0.0,1.0,0.0,7.4,3.7,17.3,3.3,0.0,25.8,11.4,0.0,0.0,0.0,0.03,-4.3,2.1,-2.2,0.0
