Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1980,11.0,1823,HOU,Houston Rockets,Moses Malone,"March 23, 1955",24.0,NBA,C,82.0,3140.0,24.1,0.56,0.0,0.5,19.6,22.3,20.9,7.1,1.2,1.9,13.7,27.6,8.9,3.0,11.9,0.18,4.5,-2.4,2.1,3.2
1981,11.0,1823,HOU,Houston Rockets,Moses Malone,"March 23, 1955",25.0,NBA,C,80.0,3245.0,25.1,0.58,0.0,0.52,16.1,24.5,20.3,6.6,1.2,2.6,14.0,27.6,9.5,4.2,13.7,0.2,4.5,-1.2,3.3,4.3
1982,11.0,1823,HOU,Houston Rockets,Moses Malone,"March 23, 1955",26.0,NBA,C,81.0,3398.0,26.8,0.58,0.0,0.45,17.5,21.2,19.3,6.9,1.1,2.1,11.9,29.9,11.7,3.7,15.4,0.22,6.2,-1.8,4.5,5.5
1983,23.0,1823,PHI,Philadelphia 76Ers,Moses Malone,"March 23, 1955",27.0,NBA,C,78.0,2922.0,25.1,0.58,0.0,0.6,16.8,25.9,21.6,5.1,1.4,3.0,13.8,26.0,9.1,6.0,15.1,0.25,4.0,-0.3,3.7,4.2
1984,23.0,1823,PHI,Philadelphia 76Ers,Moses Malone,"March 23, 1955",28.0,NBA,C,71.0,2613.0,21.8,0.57,0.0,0.66,15.7,25.3,20.6,5.7,1.3,2.4,15.0,26.4,5.0,4.6,9.5,0.18,2.0,-1.2,0.8,1.8
1985,23.0,1823,PHI,Philadelphia 76Ers,Moses Malone,"March 23, 1955",29.0,NBA,C,79.0,2957.0,22.5,0.58,0.0,0.7,14.8,24.4,19.7,6.6,1.1,2.4,14.5,26.8,7.9,4.0,11.9,0.19,3.0,-1.4,1.6,2.7
1986,23.0,1823,PHI,Philadelphia 76Ers,Moses Malone,"March 23, 1955",30.0,NBA,C,74.0,2706.0,20.6,0.55,0.0,0.63,14.0,22.0,18.0,5.1,1.2,1.5,14.1,27.6,5.5,3.4,8.9,0.16,1.8,-1.9,-0.1,1.3
1987,30.0,1823,WSB,Washington Bullets,Moses Malone,"March 23, 1955",31.0,NBA,C,73.0,2488.0,23.8,0.55,0.01,0.53,14.2,21.0,17.6,7.9,1.1,2.1,11.1,29.3,6.0,3.4,9.4,0.18,4.3,-1.5,2.8,3.0
1988,30.0,1823,WSB,Washington Bullets,Moses Malone,"March 23, 1955",32.0,NBA,C,79.0,2692.0,21.1,0.58,0.01,0.63,15.3,21.5,18.3,6.4,1.1,1.6,15.2,25.2,5.7,3.4,9.2,0.16,3.0,-1.4,1.6,2.5
1989,1.0,1823,ATL,Atlanta Hawks,Moses Malone,"March 23, 1955",33.0,NBA,C,81.0,2878.0,21.2,0.58,0.01,0.65,14.4,21.9,18.1,5.8,1.3,2.1,14.8,23.4,6.8,3.9,10.7,0.18,3.0,-1.2,1.8,2.7
1990,1.0,1823,ATL,Atlanta Hawks,Moses Malone,"March 23, 1955",34.0,NBA,C,81.0,2735.0,20.2,0.56,0.01,0.59,15.0,19.4,17.1,7.0,0.9,1.9,14.6,24.3,6.0,1.7,7.7,0.13,2.6,-2.4,0.3,1.6
1991,1.0,1823,ATL,Atlanta Hawks,Moses Malone,"March 23, 1955",35.0,NBA,C,82.0,1912.0,18.2,0.57,0.01,0.62,15.0,23.4,19.1,5.1,0.8,2.3,15.2,19.4,3.8,1.8,5.6,0.14,1.2,-1.7,-0.5,0.7
1992,17.0,1823,MIL,Milwaukee Bucks,Moses Malone,"March 23, 1955",36.0,NBA,C,82.0,2511.0,19.2,0.56,0.01,0.54,14.0,20.1,16.9,5.6,1.5,1.6,11.5,21.7,5.6,2.2,7.8,0.15,2.2,-2.1,0.1,1.3
1993,17.0,1823,MIL,Milwaukee Bucks,Moses Malone,"March 23, 1955",37.0,NBA,C,11.0,104.0,18.7,0.45,0.0,0.74,24.2,26.9,25.6,9.6,0.5,5.0,15.2,27.1,0.0,0.1,0.1,0.07,-0.1,-3.1,-3.2,0.0
1994,23.0,1823,PHI,Philadelphia 76Ers,Moses Malone,"March 23, 1955",38.0,NBA,C,55.0,618.0,17.7,0.52,0.0,0.5,18.8,21.4,20.1,8.9,0.9,1.7,17.2,24.1,0.6,0.5,1.0,0.08,0.4,-2.5,-2.1,0.0
1995,27.0,1823,SAS,San Antonio Spurs,Moses Malone,"March 23, 1955",39.0,NBA,C,17.0,149.0,12.1,0.5,0.06,0.91,16.0,18.8,17.5,5.5,0.7,1.4,18.3,17.7,0.1,0.2,0.3,0.09,-1.5,-1.8,-3.3,0.0
