Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2010,26,883,SAC,Sacramento Kings,Tyreke Evans,1989-09-19,20.0,NBA,SG,72.0,72.0,2677.0,533.0,1165.0,0.46,36.0,141.0,0.26,497.0,1024.0,0.48,0.47,348.0,465.0,0.75,66.0,314.0,380.0,414.0,109.0,26.0,216.0,204.0,1450.0,1.0
2011,26,883,SAC,Sacramento Kings,Tyreke Evans,1989-09-19,21.0,NBA,SG,57.0,53.0,2107.0,382.0,933.0,0.41,43.0,148.0,0.29,339.0,785.0,0.43,0.43,205.0,266.0,0.77,46.0,229.0,275.0,319.0,85.0,30.0,184.0,143.0,1012.0,0.0
2012,26,883,SAC,Sacramento Kings,Tyreke Evans,1989-09-19,22.0,NBA,SG,63.0,61.0,2162.0,408.0,900.0,0.45,20.0,99.0,0.2,388.0,801.0,0.48,0.46,201.0,258.0,0.78,64.0,225.0,289.0,283.0,84.0,29.0,171.0,136.0,1037.0,0.0
2013,26,883,SAC,Sacramento Kings,Tyreke Evans,1989-09-19,23.0,NBA,SG,65.0,61.0,2016.0,366.0,765.0,0.48,45.0,133.0,0.34,321.0,632.0,0.51,0.51,210.0,271.0,0.78,56.0,231.0,287.0,229.0,90.0,27.0,128.0,133.0,987.0,0.0
2014,19,883,NOP,New Orleans Pelicans,Tyreke Evans,1989-09-19,24.0,NBA,SF,72.0,22.0,2028.0,391.0,897.0,0.44,21.0,95.0,0.22,370.0,802.0,0.46,0.45,239.0,310.0,0.77,76.0,265.0,341.0,363.0,84.0,21.0,175.0,155.0,1042.0,1.0
2015,19,883,NOP,New Orleans Pelicans,Tyreke Evans,1989-09-19,25.0,NBA,SG,79.0,76.0,2690.0,521.0,1165.0,0.45,69.0,227.0,0.3,452.0,938.0,0.48,0.48,202.0,291.0,0.69,82.0,334.0,416.0,521.0,100.0,37.0,246.0,198.0,1313.0,1.0
2016,19,883,NOP,New Orleans Pelicans,Tyreke Evans,1989-09-19,26.0,NBA,SG,25.0,25.0,765.0,136.0,314.0,0.43,33.0,85.0,0.39,103.0,229.0,0.45,0.49,74.0,93.0,0.8,20.0,109.0,129.0,164.0,32.0,8.0,73.0,66.0,379.0,0.0
2017,31,883,TOT,Total After Trade,Tyreke Evans,1989-09-19,27.0,NBA,SF,40.0,6.0,788.0,150.0,370.0,0.4,42.0,118.0,0.36,108.0,252.0,0.43,0.46,69.0,92.0,0.75,13.0,124.0,137.0,124.0,35.0,9.0,61.0,60.0,411.0,0.0
2017,19,883,NOP,New Orleans Pelicans,Tyreke Evans,1989-09-19,27.0,NBA,SF,26.0,0.0,474.0,91.0,227.0,0.4,21.0,70.0,0.3,70.0,157.0,0.45,0.45,45.0,58.0,0.78,6.0,80.0,86.0,91.0,23.0,4.0,39.0,41.0,248.0,0.0
2017,26,883,SAC,Sacramento Kings,Tyreke Evans,1989-09-19,27.0,NBA,SF,14.0,6.0,314.0,59.0,143.0,0.41,21.0,48.0,0.44,38.0,95.0,0.4,0.49,24.0,34.0,0.71,7.0,44.0,51.0,33.0,12.0,5.0,22.0,19.0,163.0,0.0
2018,15,883,MEM,Memphis Grizzlies,Tyreke Evans,1989-09-19,28.0,NBA,PG,52.0,32.0,1607.0,366.0,809.0,0.45,114.0,286.0,0.4,252.0,523.0,0.48,0.52,164.0,209.0,0.78,44.0,221.0,265.0,269.0,57.0,17.0,117.0,96.0,1010.0,0.0
2019,12,883,IND,Indiana Pacers,Tyreke Evans,1989-09-19,29.0,NBA,SG,69.0,18.0,1402.0,257.0,660.0,0.39,77.0,216.0,0.36,180.0,444.0,0.4,0.45,115.0,160.0,0.72,33.0,168.0,201.0,166.0,58.0,18.0,118.0,117.0,706.0,0.0
