Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2006,26,SAC,Sacramento Kings,3,Shareef Abdur-Rahim,PF,6-9,225,1976-12-11,US,9,California
2006,26,SAC,Sacramento Kings,10,Mike Bibby,PG,6-1,190,1978-05-13,US,7,Arizona
2006,26,SAC,Sacramento Kings,32,Francisco Garcia,SF,6-7,195,1981-12-31,DO,R,Louisville
2006,26,SAC,Sacramento Kings,5,Jason Hart,PG,6-3,185,1978-04-29,US,4,Syracuse
2006,26,SAC,Sacramento Kings,23,Kevin Martin,SG,6-7,199,1983-02-01,US,1,Western Carolina University
2006,26,SAC,Sacramento Kings,52,Brad Miller,C,6-11,244,1976-04-12,US,7,Purdue
2006,26,SAC,Sacramento Kings,15,Sergei Monia,SF,6-8,220,1983-04-15,RU,R,
2006,26,SAC,Sacramento Kings,20,Vitaly Potapenko,C,6-10,280,1975-03-21,UA,9,Wright State University
2006,26,SAC,Sacramento Kings,7,Ronnie Price,PG,6-2,190,1983-06-21,US,R,"Nicholls State, Utah Valley"
2006,26,SAC,Sacramento Kings,31,Jamal Sampson,PF,6-11,235,1983-05-15,US,3,California
2006,26,SAC,Sacramento Kings,54,Brian Skinner,PF,6-9,255,1976-05-19,US,7,Baylor
2006,26,SAC,Sacramento Kings,16,Peja Stojakovic,SF,6-10,229,1977-06-09,HR,7,
2006,26,SAC,Sacramento Kings,9,Kenny Thomas,PF,6-7,261,1977-07-25,US,6,New Mexico
2006,26,SAC,Sacramento Kings,42,Bonzi Wells,SG,6-5,210,1976-09-28,US,7,Ball State University
2006,26,SAC,Sacramento Kings,34,Corliss Williamson,SF,6-7,245,1973-12-04,US,10,Arkansas
2006,26,SAC,Sacramento Kings,93,Metta World Peace,SF,6-6,260,1979-11-13,US,6,St. John's
