Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1984,21,323,SEA,Seattle Supersonics,30,Charles Bradley,SG,6-5,215,"May 16, 1959",US,2,Wyoming
1984,21,379,SEA,Seattle Supersonics,32,Fred Brown,SG,6-3,182,"August 7, 1948",US,12,Iowa
1984,21,512,SEA,Seattle Supersonics,24,Tom Chambers,PF,6-10,220,"June 21, 1959",US,2,Utah
1984,21,1228,SEA,Seattle Supersonics,10,Steve Hawes,PF,6-9,220,"May 26, 1950",US,9,Washington
1984,21,1238,SEA,Seattle Supersonics,41,Steve Hayes,C,7-0,205,"August 2, 1955",US,2,Idaho State University
1984,21,1476,SEA,Seattle Supersonics,34,Clay Johnson,SG,6-4,175,"July 18, 1956",US,2,Missouri
1984,21,1623,SEA,Seattle Supersonics,51,Reggie King,SF,6-6,225,"February 14, 1957",US,4,Alabama
1984,21,1914,SEA,Seattle Supersonics,21,Scooter McCray,PF,6-9,215,"February 8, 1960",US,R,Louisville
1984,21,2628,SEA,Seattle Supersonics,43,Jack Sikma,C,6-11,230,"November 14, 1955",US,6,Illinois Wesleyan University
1984,21,2789,SEA,Seattle Supersonics,20,Jon Sundvold,PG,6-2,170,"July 2, 1961",US,R,Missouri
1984,21,2868,SEA,Seattle Supersonics,44,David Thompson,SG,6-4,195,"July 13, 1954",US,8,NC State
1984,21,2984,SEA,Seattle Supersonics,23,Danny Vranes,SF,6-7,210,"October 29, 1958",US,2,Utah
1984,21,3145,SEA,Seattle Supersonics,1,Gus Williams,PG,6-2,175,"October 10, 1953",US,7,USC
1984,21,3224,SEA,Seattle Supersonics,4,Al Wood,SG,6-6,193,"June 2, 1958",US,2,UNC
