Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1990,2,137,BOS,Boston Celtics,5,John Bagley,PG,6-0,185,"April 23, 1960",US,7,Boston College
1990,2,246,BOS,Boston Celtics,33,Larry Bird,SF,6-9,220,"December 7, 1956",US,10,Indiana State University
1990,2,985,BOS,Boston Celtics,34,Kevin Gamble,SF,6-5,210,"November 13, 1965",US,2,Iowa
1990,2,1482,BOS,Boston Celtics,3,Dennis Johnson,PG,6-4,185,"September 18, 1954",US,13,Pepperdine
1990,2,1633,BOS,Boston Celtics,53,Joe Kleine,C,6-11,255,"January 4, 1962",US,4,"Notre Dame, Arkansas"
1990,2,1749,BOS,Boston Celtics,35,Reggie Lewis,SG,6-7,195,"November 21, 1965",US,2,Northeastern University
1990,2,1938,BOS,Boston Celtics,32,Kevin McHale,PF,6-10,210,"December 19, 1957",US,9,Minnesota
1990,2,2246,BOS,Boston Celtics,0,Robert Parish,C,7-1,230,"August 30, 1953",US,13,Centenary (LA)
1990,2,2267,BOS,Boston Celtics,4,Jim Paxson,PG,6-6,200,"July 9, 1957",US,10,Dayton
1990,2,2311,BOS,Boston Celtics,54,Ed Pinckney,PF,6-9,195,"March 27, 1963",US,4,Villanova
1990,2,2670,BOS,Boston Celtics,13,Charles Edward Smith,PG,6-1,160,"November 29, 1967",US,R,Georgetown
1990,2,2695,BOS,Boston Celtics,11,Michael Smith (1965),PF,6-10,225,"May 19, 1965",US,R,BYU
1990,2,2946,BOS,Boston Celtics,7,Kelvin Upshaw,SG,6-2,180,"January 24, 1963",US,1,Utah
