Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012,4,249,CHA,Charlotte Bobcats,Bismack Biyombo,"August 28, 1992",19.0,NBA,C,63.0,41.0,1455.0,129.0,278.0,0.46,0.0,0.0,,129.0,278.0,0.46,0.46,69.0,143.0,0.48,113.0,255.0,368.0,27.0,20.0,115.0,71.0,145.0,327.0
2013,4,249,CHA,Charlotte Bobcats,Bismack Biyombo,"August 28, 1992",20.0,NBA,C,80.0,65.0,2186.0,156.0,346.0,0.45,0.0,0.0,,156.0,346.0,0.45,0.45,74.0,142.0,0.52,194.0,388.0,582.0,35.0,28.0,143.0,82.0,195.0,386.0
2014,4,249,CHA,Charlotte Bobcats,Bismack Biyombo,"August 28, 1992",21.0,NBA,C,77.0,9.0,1072.0,88.0,144.0,0.61,0.0,0.0,,88.0,144.0,0.61,0.61,46.0,89.0,0.52,105.0,261.0,366.0,8.0,7.0,86.0,40.0,124.0,222.0
2015,4,249,CHO,Charlotte Hornets,Bismack Biyombo,"August 28, 1992",22.0,NBA,C,64.0,21.0,1243.0,101.0,186.0,0.54,0.0,0.0,,101.0,186.0,0.54,0.54,102.0,175.0,0.58,159.0,248.0,407.0,16.0,18.0,99.0,52.0,140.0,304.0
2016,28,249,TOR,Toronto Raptors,Bismack Biyombo,"August 28, 1992",23.0,NBA,C,82.0,22.0,1808.0,156.0,288.0,0.54,0.0,1.0,0.0,156.0,287.0,0.54,0.54,142.0,226.0,0.63,182.0,473.0,655.0,29.0,19.0,133.0,71.0,225.0,454.0
2017,22,249,ORL,Orlando Magic,Bismack Biyombo,"August 28, 1992",24.0,NBA,C,81.0,27.0,1793.0,179.0,339.0,0.53,0.0,0.0,,179.0,339.0,0.53,0.53,125.0,234.0,0.53,157.0,410.0,567.0,74.0,25.0,91.0,95.0,202.0,483.0
2018,22,249,ORL,Orlando Magic,Bismack Biyombo,"August 28, 1992",25.0,NBA,C,82.0,25.0,1495.0,183.0,352.0,0.52,0.0,1.0,0.0,183.0,351.0,0.52,0.52,102.0,157.0,0.65,144.0,324.0,468.0,66.0,21.0,95.0,84.0,158.0,468.0
2019,4,249,CHO,Charlotte Hornets,Bismack Biyombo,"August 28, 1992",26.0,NBA,C,54.0,32.0,783.0,89.0,156.0,0.57,0.0,0.0,,89.0,156.0,0.57,0.57,58.0,91.0,0.64,81.0,166.0,247.0,33.0,11.0,41.0,34.0,103.0,236.0
2020,4,249,CHO,Charlotte Hornets,Bismack Biyombo,"August 28, 1992",27.0,NBA,C,53.0,29.0,1029.0,151.0,278.0,0.54,0.0,0.0,,151.0,278.0,0.54,0.54,91.0,151.0,0.6,120.0,188.0,308.0,50.0,10.0,49.0,48.0,116.0,393.0
2021,4,249,CHO,Charlotte Hornets,Bismack Biyombo,"August 28, 1992",28.0,NBA,C,21.0,16.0,502.0,59.0,106.0,0.56,0.0,1.0,0.0,59.0,105.0,0.56,0.56,20.0,44.0,0.46,50.0,84.0,134.0,32.0,6.0,24.0,21.0,51.0,138.0
