Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2002,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,19.0,NBA,PG,77.0,72.0,2267.0,268.0,639.0,0.42,61.0,189.0,0.32,207.0,450.0,0.46,0.47,108.0,160.0,0.68,33.0,164.0,197.0,334.0,89.0,7.0,151.0,166.0,705.0,0.0
2003,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,20.0,NBA,PG,82.0,82.0,2774.0,484.0,1043.0,0.46,82.0,243.0,0.34,402.0,800.0,0.5,0.5,219.0,290.0,0.76,33.0,183.0,216.0,432.0,71.0,4.0,198.0,174.0,1269.0,0.0
2004,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,21.0,NBA,PG,75.0,75.0,2577.0,423.0,946.0,0.45,62.0,199.0,0.31,361.0,747.0,0.48,0.48,191.0,272.0,0.7,43.0,194.0,237.0,411.0,61.0,7.0,179.0,148.0,1099.0,0.0
2005,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,22.0,NBA,PG,80.0,80.0,2735.0,539.0,1118.0,0.48,43.0,156.0,0.28,496.0,962.0,0.52,0.5,210.0,323.0,0.65,47.0,251.0,298.0,491.0,98.0,4.0,215.0,167.0,1331.0,0.0
2006,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,23.0,NBA,PG,80.0,80.0,2715.0,623.0,1136.0,0.55,11.0,36.0,0.31,612.0,1100.0,0.56,0.55,253.0,358.0,0.71,38.0,223.0,261.0,460.0,83.0,4.0,249.0,161.0,1510.0,0.0
2007,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,24.0,NBA,PG,77.0,77.0,2499.0,570.0,1096.0,0.52,15.0,38.0,0.4,555.0,1058.0,0.52,0.53,274.0,350.0,0.78,34.0,216.0,250.0,420.0,82.0,6.0,191.0,137.0,1429.0,0.0
2008,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,25.0,NBA,PG,69.0,68.0,2312.0,515.0,1043.0,0.49,17.0,66.0,0.26,498.0,977.0,0.51,0.5,248.0,347.0,0.72,30.0,191.0,221.0,411.0,55.0,8.0,164.0,93.0,1295.0,0.0
2009,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,26.0,NBA,PG,72.0,71.0,2456.0,639.0,1263.0,0.51,19.0,65.0,0.29,620.0,1198.0,0.52,0.51,284.0,363.0,0.78,27.0,196.0,223.0,496.0,67.0,4.0,186.0,110.0,1581.0,0.0
2010,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,27.0,NBA,PG,56.0,50.0,1728.0,349.0,716.0,0.49,10.0,34.0,0.29,339.0,682.0,0.5,0.49,186.0,246.0,0.76,7.0,128.0,135.0,317.0,29.0,8.0,149.0,96.0,894.0,0.0
2011,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,28.0,NBA,PG,78.0,78.0,2528.0,555.0,1069.0,0.52,25.0,70.0,0.36,530.0,999.0,0.53,0.53,233.0,303.0,0.77,30.0,208.0,238.0,513.0,90.0,3.0,200.0,135.0,1368.0,0.0
2012,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,29.0,NBA,PG,60.0,60.0,1923.0,427.0,890.0,0.48,14.0,61.0,0.23,413.0,829.0,0.5,0.49,227.0,284.0,0.8,22.0,149.0,171.0,463.0,57.0,5.0,153.0,75.0,1095.0,0.0
2013,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,30.0,NBA,PG,66.0,66.0,2174.0,519.0,995.0,0.52,24.0,68.0,0.35,495.0,927.0,0.53,0.53,279.0,330.0,0.84,18.0,180.0,198.0,499.0,54.0,6.0,170.0,92.0,1341.0,1.0
2014,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,31.0,NBA,PG,68.0,68.0,1997.0,456.0,914.0,0.5,25.0,67.0,0.37,431.0,847.0,0.51,0.51,197.0,243.0,0.81,17.0,138.0,155.0,388.0,36.0,9.0,151.0,86.0,1134.0,0.0
2015,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,32.0,NBA,PG,68.0,68.0,1953.0,404.0,832.0,0.49,38.0,89.0,0.43,366.0,743.0,0.49,0.51,130.0,166.0,0.78,15.0,114.0,129.0,335.0,44.0,2.0,146.0,108.0,976.0,0.0
2016,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,33.0,NBA,PG,72.0,72.0,1980.0,350.0,710.0,0.49,27.0,65.0,0.42,323.0,645.0,0.5,0.51,130.0,171.0,0.76,17.0,159.0,176.0,379.0,54.0,11.0,131.0,114.0,857.0,0.0
2017,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,34.0,NBA,PG,63.0,63.0,1587.0,265.0,569.0,0.47,23.0,69.0,0.33,242.0,500.0,0.48,0.49,85.0,117.0,0.73,9.0,104.0,113.0,285.0,34.0,2.0,89.0,92.0,638.0,0.0
2018,27,2254,SAS,San Antonio Spurs,Tony Parker,1982-05-17,35.0,NBA,PG,55.0,21.0,1071.0,178.0,388.0,0.46,10.0,37.0,0.27,168.0,351.0,0.48,0.47,55.0,78.0,0.7,7.0,88.0,95.0,195.0,28.0,1.0,68.0,52.0,421.0,0.0
2019,4,2254,CHO,Charlotte Hornets,Tony Parker,1982-05-17,36.0,NBA,PG,56.0,0.0,1003.0,213.0,463.0,0.46,13.0,51.0,0.26,200.0,412.0,0.48,0.47,91.0,124.0,0.73,14.0,69.0,83.0,207.0,21.0,7.0,75.0,53.0,530.0,0.0
