Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1980,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,1956-09-08,23.0,NBA,PG,79.0,79.0,2623.0,357.0,661.0,0.54,4.0,9.0,0.44,353.0,652.0,0.54,0.54,180.0,231.0,0.78,75.0,199.0,274.0,556.0,183.0,32.0,216.0,197.0,898.0,0.0
1981,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,1956-09-08,24.0,NBA,PG,81.0,81.0,2415.0,310.0,581.0,0.53,3.0,8.0,0.38,307.0,573.0,0.54,0.54,140.0,178.0,0.79,67.0,178.0,245.0,560.0,193.0,39.0,174.0,231.0,763.0,0.0
1982,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,1956-09-08,25.0,NBA,PG,79.0,79.0,2498.0,352.0,676.0,0.52,6.0,22.0,0.27,346.0,654.0,0.53,0.52,171.0,220.0,0.78,51.0,197.0,248.0,667.0,209.0,33.0,184.0,247.0,881.0,0.0
1983,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,1956-09-08,26.0,NBA,PG,79.0,79.0,2465.0,404.0,745.0,0.54,1.0,6.0,0.17,403.0,739.0,0.55,0.54,181.0,240.0,0.75,53.0,156.0,209.0,543.0,184.0,31.0,179.0,182.0,990.0,0.0
1984,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,1956-09-08,27.0,NBA,PG,75.0,75.0,2494.0,386.0,702.0,0.55,8.0,20.0,0.4,378.0,682.0,0.55,0.56,170.0,232.0,0.73,44.0,161.0,205.0,478.0,171.0,20.0,182.0,196.0,950.0,0.0
1985,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,1956-09-08,28.0,NBA,PG,78.0,78.0,2616.0,422.0,741.0,0.57,6.0,26.0,0.23,416.0,715.0,0.58,0.57,175.0,199.0,0.88,54.0,163.0,217.0,497.0,169.0,24.0,155.0,184.0,1025.0,0.0
1986,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,1956-09-08,29.0,NBA,PG,82.0,82.0,3270.0,490.0,913.0,0.54,4.0,17.0,0.24,486.0,896.0,0.54,0.54,282.0,335.0,0.84,55.0,180.0,235.0,753.0,207.0,27.0,238.0,160.0,1266.0,0.0
1987,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,1956-09-08,30.0,NBA,PG,68.0,68.0,2624.0,415.0,788.0,0.53,4.0,17.0,0.24,411.0,771.0,0.53,0.53,227.0,292.0,0.78,47.0,168.0,215.0,538.0,180.0,15.0,173.0,109.0,1061.0,0.0
1988,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,1956-09-08,31.0,NBA,PG,79.0,79.0,2871.0,428.0,865.0,0.5,3.0,22.0,0.14,425.0,843.0,0.5,0.5,227.0,275.0,0.82,59.0,194.0,253.0,635.0,167.0,22.0,160.0,116.0,1086.0,1.0
1989,23,522,PHI,Philadelphia 76Ers,Maurice Cheeks,1956-09-08,32.0,NBA,PG,71.0,70.0,2298.0,336.0,696.0,0.48,1.0,13.0,0.08,335.0,683.0,0.49,0.48,151.0,195.0,0.77,39.0,144.0,183.0,554.0,105.0,17.0,116.0,114.0,824.0,0.0
1990,31,522,TOT,Total After Trade,Maurice Cheeks,1956-09-08,33.0,NBA,PG,81.0,62.0,2519.0,307.0,609.0,0.5,4.0,16.0,0.25,303.0,593.0,0.51,0.51,171.0,202.0,0.85,50.0,190.0,240.0,453.0,124.0,10.0,121.0,78.0,789.0,0.0
1990,27,522,SAS,San Antonio Spurs,Maurice Cheeks,1956-09-08,33.0,NBA,PG,50.0,49.0,1766.0,215.0,450.0,0.48,1.0,9.0,0.11,214.0,441.0,0.48,0.48,114.0,137.0,0.83,39.0,128.0,167.0,302.0,82.0,5.0,85.0,46.0,545.0,0.0
1990,20,522,NYK,New York Knicks,Maurice Cheeks,1956-09-08,33.0,NBA,PG,31.0,13.0,753.0,92.0,159.0,0.58,3.0,7.0,0.43,89.0,152.0,0.59,0.59,57.0,65.0,0.88,11.0,62.0,73.0,151.0,42.0,5.0,36.0,32.0,244.0,0.0
1991,20,522,NYK,New York Knicks,Maurice Cheeks,1956-09-08,34.0,NBA,PG,76.0,64.0,2147.0,241.0,483.0,0.5,5.0,20.0,0.25,236.0,463.0,0.51,0.5,105.0,129.0,0.81,22.0,151.0,173.0,435.0,128.0,10.0,108.0,138.0,592.0,0.0
1992,1,522,ATL,Atlanta Hawks,Maurice Cheeks,1956-09-08,35.0,NBA,PG,56.0,0.0,1086.0,115.0,249.0,0.46,3.0,6.0,0.5,112.0,243.0,0.46,0.47,26.0,43.0,0.6,29.0,66.0,95.0,185.0,83.0,0.0,36.0,73.0,259.0,0.0
1993,3,522,NJN,New Jersey Nets,Maurice Cheeks,1956-09-08,36.0,NBA,PG,35.0,0.0,510.0,51.0,93.0,0.55,0.0,2.0,0.0,51.0,91.0,0.56,0.55,24.0,27.0,0.89,5.0,37.0,42.0,107.0,33.0,2.0,33.0,35.0,126.0,0.0
