Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2020,17,MIL,Milwaukee Bucks,34,Giannis Antetokounmpo,PF,6-11,242,1994-12-06,GR,6,
2020,17,MIL,Milwaukee Bucks,43,Thanasis Antetokounmpo,SF,6-6,219,1992-07-18,GR,1,
2020,17,MIL,Milwaukee Bucks,17,Dragan Bender,C,7-0,225,1997-11-17,BA,3,
2020,17,MIL,Milwaukee Bucks,6,Eric Bledsoe,PG,6-1,214,1989-12-09,US,9,Kentucky
2020,17,MIL,Milwaukee Bucks,23,Sterling Brown,SF,6-5,219,1995-02-10,US,2,SMU
2020,17,MIL,Milwaukee Bucks,24,Pat Connaughton,SG,6-5,209,1993-01-06,US,4,Notre Dame
2020,17,MIL,Milwaukee Bucks,0,Donte DiVincenzo,SG,6-4,203,1997-01-31,US,1,Villanova
2020,17,MIL,Milwaukee Bucks,3,George Hill,PG,6-3,188,1986-05-04,US,11,IUPUI
2020,17,MIL,Milwaukee Bucks,7,Ersan Ilyasova,PF,6-9,235,1987-05-15,TR,11,
2020,17,MIL,Milwaukee Bucks,26,Kyle Korver,SF,6-7,212,1981-03-17,US,16,Creighton
2020,17,MIL,Milwaukee Bucks,11,Brook Lopez,C,7-0,282,1988-04-01,US,11,Stanford
2020,17,MIL,Milwaukee Bucks,42,Robin Lopez,C,7-0,281,1988-04-01,US,11,Stanford
2020,17,MIL,Milwaukee Bucks,15,Frank Mason,PG,5-11,190,1994-04-03,US,2,Kansas
2020,17,MIL,Milwaukee Bucks,9,Wesley Matthews,SG,6-4,220,1986-10-14,US,10,Marquette
2020,17,MIL,Milwaukee Bucks,22,Khris Middleton,SF,6-7,222,1991-08-12,US,7,Texas A&M
2020,17,MIL,Milwaukee Bucks,20,Marvin Williams,PF,6-8,237,1986-06-19,US,14,UNC
2020,17,MIL,Milwaukee Bucks,5,D.J. Wilson,PF,6-10,231,1996-02-19,US,2,Michigan
