Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1989,9,3162,DET,Detroit Pistons,Micheal Williams,"July 23, 1966",22.0,NBA,PG,49.0,0.0,358.0,47.0,129.0,0.36,2.0,9.0,0.22,45.0,120.0,0.38,0.37,31.0,47.0,0.66,9.0,18.0,27.0,70.0,13.0,3.0,42.0,44.0,127.0,0.0
1990,31,3162,TOT,Total After Trade,Micheal Williams,"July 23, 1966",23.0,NBA,PG,28.0,1.0,329.0,60.0,119.0,0.5,0.0,3.0,0.0,60.0,116.0,0.52,0.5,36.0,46.0,0.78,12.0,20.0,32.0,81.0,22.0,1.0,33.0,39.0,156.0,0.0
1990,24,3162,PHO,Phoenix Suns,Micheal Williams,"July 23, 1966",23.0,NBA,PG,6.0,0.0,26.0,2.0,10.0,0.2,0.0,0.0,,2.0,10.0,0.2,0.2,1.0,2.0,0.5,1.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,5.0,0.0
1990,4,3162,CHO,Charlotte Hornets,Micheal Williams,"July 23, 1966",23.0,NBA,PG,22.0,1.0,303.0,58.0,109.0,0.53,0.0,3.0,0.0,58.0,106.0,0.55,0.53,35.0,44.0,0.8,11.0,20.0,31.0,77.0,22.0,1.0,28.0,39.0,151.0,0.0
1991,12,3162,IND,Indiana Pacers,Micheal Williams,"July 23, 1966",24.0,NBA,PG,73.0,37.0,1706.0,261.0,523.0,0.5,1.0,7.0,0.14,260.0,516.0,0.5,0.5,290.0,330.0,0.88,49.0,127.0,176.0,348.0,150.0,17.0,150.0,202.0,813.0,0.0
1992,12,3162,IND,Indiana Pacers,Micheal Williams,"July 23, 1966",25.0,NBA,PG,79.0,76.0,2750.0,404.0,824.0,0.49,8.0,33.0,0.24,396.0,791.0,0.5,0.5,372.0,427.0,0.87,73.0,209.0,282.0,647.0,233.0,22.0,240.0,262.0,1188.0,1.0
1993,18,3162,MIN,Minnesota Timberwolves,Micheal Williams,"July 23, 1966",26.0,NBA,PG,76.0,76.0,2661.0,353.0,791.0,0.45,26.0,107.0,0.24,327.0,684.0,0.48,0.46,419.0,462.0,0.91,84.0,189.0,273.0,661.0,165.0,23.0,227.0,268.0,1151.0,2.0
1994,18,3162,MIN,Minnesota Timberwolves,Micheal Williams,"July 23, 1966",27.0,NBA,PG,71.0,66.0,2206.0,314.0,687.0,0.46,10.0,45.0,0.22,304.0,642.0,0.47,0.46,333.0,397.0,0.84,67.0,154.0,221.0,512.0,118.0,24.0,203.0,193.0,971.0,0.0
1995,18,3162,MIN,Minnesota Timberwolves,Micheal Williams,"July 23, 1966",28.0,NBA,PG,1.0,1.0,28.0,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,4.0,5.0,0.8,0.0,1.0,1.0,3.0,2.0,0.0,3.0,3.0,6.0,0.0
1996,18,3162,MIN,Minnesota Timberwolves,Micheal Williams,"July 23, 1966",29.0,NBA,PG,9.0,7.0,189.0,13.0,40.0,0.32,1.0,3.0,0.33,12.0,37.0,0.32,0.34,28.0,33.0,0.85,3.0,20.0,23.0,31.0,5.0,3.0,23.0,37.0,55.0,0.0
1998,18,3162,MIN,Minnesota Timberwolves,Micheal Williams,"July 23, 1966",31.0,NBA,PG,25.0,0.0,161.0,16.0,48.0,0.33,0.0,4.0,0.0,16.0,44.0,0.36,0.33,32.0,33.0,0.97,2.0,12.0,14.0,32.0,9.0,2.0,16.0,24.0,64.0,0.0
1999,28,3162,TOR,Toronto Raptors,Micheal Williams,"July 23, 1966",32.0,NBA,PG,2.0,0.0,15.0,1.0,5.0,0.2,0.0,0.0,,1.0,5.0,0.2,0.2,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
