Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1989,24,1327,PHO,Phoenix Suns,Jeff Hornacek,"May 3, 1963",25.0,NBA,SG,12.0,374.0,16.8,0.53,0.05,0.17,6.6,12.3,9.4,22.4,2.0,0.5,10.1,18.4,0.6,0.5,1.1,0.15,1.1,1.5,2.6,0.4
1990,24,1327,PHO,Phoenix Suns,Jeff Hornacek,"May 3, 1963",26.0,NBA,SG,16.0,583.0,17.6,0.59,0.11,0.33,2.7,8.6,5.9,19.7,2.0,0.0,11.9,20.7,1.3,0.6,1.9,0.16,2.5,1.6,4.1,0.9
1991,24,1327,PHO,Phoenix Suns,Jeff Hornacek,"May 3, 1963",27.0,NBA,SG,4.0,145.0,16.3,0.58,0.12,0.55,2.2,18.9,10.0,9.9,1.0,0.9,4.5,19.9,0.3,0.1,0.4,0.14,1.7,0.7,2.4,0.2
1992,24,1327,PHO,Phoenix Suns,Jeff Hornacek,"May 3, 1963",28.0,NBA,SG,8.0,343.0,16.0,0.57,0.13,0.27,4.2,13.2,8.7,17.6,2.0,0.4,11.7,19.6,0.5,0.2,0.8,0.11,2.2,-0.1,2.1,0.3
1994,29,1327,UTA,Utah Jazz,Jeff Hornacek,"May 3, 1963",30.0,NBA,SG,16.0,558.0,18.0,0.59,0.19,0.38,2.2,5.9,4.0,20.4,2.4,0.8,11.8,19.9,1.4,0.4,1.9,0.16,3.2,1.5,4.7,0.9
1995,29,1327,UTA,Utah Jazz,Jeff Hornacek,"May 3, 1963",31.0,NBA,SG,5.0,178.0,14.7,0.61,0.26,0.28,2.1,2.5,2.3,18.4,2.4,0.5,10.9,16.8,0.3,-0.1,0.3,0.08,1.8,0.2,2.0,0.2
1996,29,1327,UTA,Utah Jazz,Jeff Hornacek,"May 3, 1963",32.0,NBA,SG,18.0,644.0,20.1,0.65,0.28,0.4,4.3,8.6,6.4,16.4,1.6,0.4,10.0,20.3,2.3,0.9,3.1,0.23,5.0,1.1,6.1,1.3
1997,29,1327,UTA,Utah Jazz,Jeff Hornacek,"May 3, 1963",33.0,NBA,SG,20.0,704.0,16.4,0.57,0.26,0.5,3.9,11.2,7.6,18.2,1.7,0.5,12.4,19.7,1.5,0.6,2.1,0.14,2.0,0.7,2.7,0.9
1998,29,1327,UTA,Utah Jazz,Jeff Hornacek,"May 3, 1963",34.0,NBA,SG,20.0,636.0,12.1,0.52,0.17,0.36,1.4,7.7,4.7,17.6,1.8,0.5,13.4,18.4,0.5,0.8,1.3,0.1,0.4,0.4,0.8,0.4
1999,29,1327,UTA,Utah Jazz,Jeff Hornacek,"May 3, 1963",35.0,NBA,SG,11.0,304.0,17.8,0.56,0.17,0.31,3.6,12.0,8.0,17.1,2.0,0.0,9.1,20.9,0.7,0.4,1.1,0.17,2.0,1.2,3.1,0.4
2000,29,1327,UTA,Utah Jazz,Jeff Hornacek,"May 3, 1963",36.0,NBA,SG,10.0,297.0,13.5,0.51,0.22,0.24,3.7,8.2,6.0,20.4,1.8,0.0,11.8,20.6,0.3,0.1,0.4,0.07,0.7,-0.1,0.6,0.2
