Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2015,29,UTA,Utah Jazz,22,Jerrelle Benimon,PF,6-8,245,1991-08-01,US,R,"Georgetown, Towson University"
2015,29,UTA,Utah Jazz,33,Trevor Booker,PF,6-8,228,1987-11-25,US,4,Clemson
2015,29,UTA,Utah Jazz,3,Trey Burke,PG,6-0,185,1992-11-12,US,1,Michigan
2015,29,UTA,Utah Jazz,10,Alec Burks,SG,6-6,214,1991-07-20,US,3,Colorado
2015,29,UTA,Utah Jazz,19,Patrick Christopher,SG,6-5,209,1988-06-03,US,R,California
2015,29,UTA,Utah Jazz,21,Ian Clark,SG,6-3,175,1991-03-07,US,1,Belmont
2015,29,UTA,Utah Jazz,45,Jack Cooley,C,6-9,260,1991-04-04,US,R,Notre Dame
2015,29,UTA,Utah Jazz,8,Bryce Cotton,PG,6-1,165,1992-08-11,US,R,Providence
2015,29,UTA,Utah Jazz,40,Jeremy Evans,SF,6-9,200,1987-10-24,US,4,Western Kentucky
2015,29,UTA,Utah Jazz,11,Dante Exum,PG,6-5,214,1995-07-13,AU,R,
2015,29,UTA,Utah Jazz,15,Derrick Favors,PF,6-9,265,1991-07-15,US,4,Georgia Tech
2015,29,UTA,Utah Jazz,27,Rudy Gobert,C,7-1,258,1992-06-26,FR,1,
2015,29,UTA,Utah Jazz,20,Gordon Hayward,SF,6-7,225,1990-03-23,US,4,Butler
2015,29,UTA,Utah Jazz,5,Rodney Hood,SG,6-8,208,1992-10-20,US,R,"Mississippi State, Duke"
2015,29,UTA,Utah Jazz,2,Joe Ingles,SF,6-7,220,1987-10-02,AU,R,
2015,29,UTA,Utah Jazz,17,Grant Jerrett,PF,6-10,235,1993-07-08,US,R,Arizona
2015,29,UTA,Utah Jazz,23,Chris Johnson,SF,6-6,206,1990-04-29,US,2,Dayton
2015,29,UTA,Utah Jazz,0,Enes Kanter,C,6-10,250,1992-05-20,CH,3,
2015,29,UTA,Utah Jazz,13,Elijah Millsap,SG,6-6,225,1987-08-12,US,R,"Louisiana, UAB"
2015,29,UTA,Utah Jazz,23,Toure' Murry,PG,6-5,195,1989-11-08,US,1,Wichita State
2015,29,UTA,Utah Jazz,16,Steve Novak,SF,6-10,225,1983-06-13,US,8,Marquette
2015,29,UTA,Utah Jazz,25,Elliot Williams,SG,6-5,190,1989-06-20,US,2,"Duke, Memphis"
