Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2009,25,195,POR,Portland Trail Blazers,Jerryd Bayless,1988-08-20,20.0,NBA,PG,53.0,0.0,655.0,5.8,16.0,0.36,0.6,2.3,0.26,5.2,13.7,0.38,7.0,8.7,0.81,0.7,4.1,4.8,6.6,1.4,0.2,4.7,6.9,19.3,97.0,111.0
2010,25,195,POR,Portland Trail Blazers,Jerryd Bayless,1988-08-20,21.0,NBA,SG,74.0,11.0,1304.0,8.4,20.3,0.41,1.2,3.9,0.32,7.2,16.4,0.44,8.4,10.2,0.83,0.8,4.3,5.0,7.2,1.1,0.2,3.9,6.4,26.4,108.0,110.0
2011,31,195,TOT,Total After Trade,Jerryd Bayless,1988-08-20,22.0,NBA,PG,71.0,14.0,1496.0,7.6,17.9,0.42,1.7,5.1,0.34,5.9,12.9,0.46,5.8,7.1,0.81,0.9,4.8,5.7,9.2,1.3,0.2,4.4,5.2,22.6,105.0,114.0
2011,19,195,NOH,New Orleans Hornets,Jerryd Bayless,1988-08-20,22.0,NBA,PG,11.0,0.0,149.0,6.2,17.8,0.35,1.1,5.1,0.21,5.1,12.7,0.4,4.7,6.2,0.76,0.7,4.7,5.4,10.2,0.7,0.4,6.2,5.8,18.2,86.0,109.0
2011,28,195,TOR,Toronto Raptors,Jerryd Bayless,1988-08-20,22.0,NBA,PG,60.0,14.0,1347.0,7.7,18.0,0.43,1.8,5.1,0.35,5.9,12.9,0.46,5.9,7.3,0.81,0.9,4.8,5.8,9.1,1.4,0.2,4.2,5.1,23.1,108.0,115.0
2012,28,195,TOR,Toronto Raptors,Jerryd Bayless,1988-08-20,23.0,NBA,PG,31.0,11.0,705.0,8.9,21.1,0.42,3.4,7.9,0.42,5.6,13.1,0.42,5.7,6.7,0.85,0.6,4.4,5.0,9.0,1.8,0.3,4.0,5.3,26.9,110.0,106.0
2013,15,195,MEM,Memphis Grizzlies,Jerryd Bayless,1988-08-20,24.0,NBA,PG,80.0,4.0,1765.0,8.0,19.1,0.42,2.2,6.2,0.35,5.8,12.9,0.45,3.1,3.8,0.84,0.7,4.7,5.4,8.1,1.8,0.5,3.7,5.2,21.3,104.0,103.0
2014,31,195,TOT,Total After Trade,Jerryd Bayless,1988-08-20,25.0,NBA,PG,72.0,19.0,1686.0,7.7,19.1,0.4,2.4,6.6,0.36,5.3,12.5,0.42,2.9,3.7,0.8,0.7,3.8,4.5,6.0,1.9,0.3,2.5,5.0,20.6,103.0,109.0
2014,15,195,MEM,Memphis Grizzlies,Jerryd Bayless,1988-08-20,25.0,NBA,PG,31.0,5.0,650.0,7.4,19.6,0.38,2.1,6.8,0.3,5.3,12.8,0.42,3.7,4.7,0.79,0.7,4.2,4.8,5.4,1.6,0.4,1.8,5.9,20.5,103.0,107.0
2014,2,195,BOS,Boston Celtics,Jerryd Bayless,1988-08-20,25.0,NBA,PG,41.0,14.0,1036.0,7.8,18.8,0.42,2.5,6.4,0.4,5.3,12.4,0.43,2.4,3.0,0.8,0.7,3.6,4.3,6.4,2.0,0.2,3.0,4.4,20.7,103.0,109.0
2015,17,195,MIL,Milwaukee Bucks,Jerryd Bayless,1988-08-20,26.0,NBA,PG,77.0,4.0,1717.0,6.5,15.3,0.43,1.1,3.6,0.31,5.4,11.8,0.46,3.6,4.1,0.88,0.7,5.6,6.3,6.9,1.8,0.4,4.0,4.8,17.8,99.0,104.0
2016,17,195,MIL,Milwaukee Bucks,Jerryd Bayless,1988-08-20,27.0,NBA,SG,52.0,18.0,1505.0,6.3,14.8,0.42,3.4,7.8,0.44,2.8,7.0,0.41,2.4,3.0,0.78,0.7,4.1,4.8,5.5,1.6,0.4,2.5,3.8,18.3,110.0,112.0
2017,23,195,PHI,Philadelphia 76Ers,Jerryd Bayless,1988-08-20,28.0,NBA,PG,3.0,1.0,71.0,7.5,22.0,0.34,1.4,3.4,0.4,6.2,18.5,0.33,6.2,6.9,0.9,2.1,6.2,8.2,8.9,0.0,0.0,6.2,2.7,22.6,90.0,114.0
2018,23,195,PHI,Philadelphia 76Ers,Jerryd Bayless,1988-08-20,29.0,NBA,SG,39.0,11.0,925.0,5.7,13.6,0.42,2.8,7.6,0.37,2.9,6.0,0.47,1.8,2.3,0.8,0.8,3.4,4.2,2.8,1.2,0.3,2.4,4.7,16.0,102.0,109.0
2019,18,195,MIN,Minnesota Timberwolves,Jerryd Bayless,1988-08-20,30.0,NBA,PG,34.0,6.0,657.0,6.0,16.8,0.36,2.1,7.1,0.3,3.9,9.6,0.4,1.2,2.0,0.57,0.8,3.7,4.5,8.7,1.3,0.1,2.3,4.1,15.2,98.0,117.0
