Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2003,23,PHI,Philadelphia 76Ers,9,Mark Bryant,PF,6-9,245,1965-04-25,US,14,Seton Hall
2003,23,PHI,Philadelphia 76Ers,21,Greg Buckner,SG,6-4,210,1976-09-16,US,3,Clemson
2003,23,PHI,Philadelphia 76Ers,44,Derrick Coleman,C,6-10,230,1967-06-21,US,12,Syracuse
2003,23,PHI,Philadelphia 76Ers,40,Tyrone Hill,PF,6-9,240,1968-03-19,US,12,Xavier
2003,23,PHI,Philadelphia 76Ers,3,Allen Iverson,SG,6-0,165,1975-06-07,US,6,Georgetown
2003,23,PHI,Philadelphia 76Ers,35,Art Long,PF,6-9,250,1972-10-01,US,2,Cincinnati
2003,23,PHI,Philadelphia 76Ers,11,Todd MacCulloch,C,7-0,280,1976-01-27,CA,3,Washington
2003,23,PHI,Philadelphia 76Ers,8,Aaron McKie,SF,6-5,209,1972-10-02,US,8,Temple
2003,23,PHI,Philadelphia 76Ers,14,Efthimi Rentzias,C,6-11,250,1976-01-11,GR,R,
2003,23,PHI,Philadelphia 76Ers,7,John Salmons,PG,6-7,210,1979-12-12,US,R,Miami (FL)
2003,23,PHI,Philadelphia 76Ers,12,Kenny Satterfield,PG,6-2,186,1981-04-10,US,1,Cincinnati
2003,23,PHI,Philadelphia 76Ers,54,Brian Skinner,PF,6-9,255,1976-05-19,US,4,Baylor
2003,23,PHI,Philadelphia 76Ers,20,Eric Snow,PG,6-3,190,1973-04-24,US,7,Michigan State
2003,23,PHI,Philadelphia 76Ers,9,Kenny Thomas,PF,6-7,261,1977-07-25,US,3,New Mexico
2003,23,PHI,Philadelphia 76Ers,4,Keith Van Horn,PF,6-10,220,1975-10-23,US,5,Utah
2003,23,PHI,Philadelphia 76Ers,5,Monty Williams,SF,6-8,225,1971-10-08,US,8,Notre Dame
