Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002,3,1861,NJN,New Jersey Nets,Kenyon Martin,"December 30, 1977",24.0,NBA,PF,20.0,20.0,749.0,6.2,14.6,0.42,0.1,0.4,0.22,6.1,14.2,0.43,3.7,5.3,0.69,1.4,4.1,5.6,2.7,1.2,1.2,2.5,4.1,16.1
2003,3,1861,NJN,New Jersey Nets,Kenyon Martin,"December 30, 1977",25.0,NBA,PF,20.0,20.0,777.0,6.9,15.2,0.45,0.0,0.5,0.09,6.9,14.7,0.46,3.7,5.3,0.69,2.3,6.3,8.7,2.6,1.3,1.4,2.7,4.3,17.5
2004,3,1861,NJN,New Jersey Nets,Kenyon Martin,"December 30, 1977",26.0,NBA,PF,11.0,11.0,409.0,7.1,13.4,0.53,0.0,0.4,0.0,7.1,13.0,0.55,4.2,5.6,0.75,2.2,8.4,10.7,1.1,1.1,1.2,2.8,4.4,18.5
2005,8,1861,DEN,Denver Nuggets,Kenyon Martin,"December 30, 1977",27.0,NBA,PF,5.0,5.0,164.0,5.9,12.7,0.47,0.0,0.2,0.0,5.9,12.5,0.47,1.8,2.9,0.62,1.5,4.6,6.1,1.3,1.1,1.1,1.5,4.8,13.6
2006,8,1861,DEN,Denver Nuggets,Kenyon Martin,"December 30, 1977",28.0,NBA,PF,2.0,0.0,35.0,4.1,13.4,0.31,0.0,0.0,,4.1,13.4,0.31,1.0,2.1,0.5,6.2,3.1,9.3,1.0,4.1,2.1,3.1,5.1,9.3
2008,8,1861,DEN,Denver Nuggets,Kenyon Martin,"December 30, 1977",30.0,NBA,PF,4.0,4.0,118.0,4.6,10.4,0.44,0.0,0.0,,4.6,10.4,0.44,1.5,2.4,0.62,4.0,3.7,7.6,1.5,1.2,0.6,2.7,6.1,10.7
2009,8,1861,DEN,Denver Nuggets,Kenyon Martin,"December 30, 1977",31.0,NBA,PF,16.0,16.0,538.0,5.0,10.1,0.5,0.1,0.3,0.2,5.0,9.8,0.51,1.5,2.3,0.66,1.6,4.7,6.3,2.3,1.2,0.9,1.7,4.0,11.6
2010,8,1861,DEN,Denver Nuggets,Kenyon Martin,"December 30, 1977",32.0,NBA,PF,6.0,6.0,205.0,4.2,8.8,0.48,0.0,0.2,0.0,4.2,8.6,0.49,2.1,3.3,0.63,2.5,6.3,8.8,1.4,1.6,1.2,1.9,4.7,10.5
2011,8,1861,DEN,Denver Nuggets,Kenyon Martin,"December 30, 1977",33.0,NBA,PF,5.0,5.0,148.0,5.8,12.2,0.48,0.0,0.0,,5.8,12.2,0.48,2.7,4.4,0.61,1.5,8.0,9.5,1.9,0.5,0.5,1.7,4.4,14.4
2012,13,1861,LAC,Los Angeles Clippers,Kenyon Martin,"December 30, 1977",34.0,NBA,PF,11.0,0.0,193.0,4.1,7.8,0.52,0.0,0.0,,4.1,7.8,0.52,0.9,1.5,0.62,2.1,4.5,6.5,0.6,0.7,3.5,0.7,6.7,9.1
2013,20,1861,NYK,New York Knicks,Kenyon Martin,"December 30, 1977",35.0,NBA,C,12.0,1.0,253.0,4.1,7.1,0.58,0.0,0.0,,4.1,7.1,0.58,1.6,2.8,0.55,2.3,5.4,7.7,1.6,1.3,2.4,1.1,6.0,9.8
