Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2004,19,3071,NOH,New Orleans Hornets,David West,"August 29, 1980",23.0,NBA,PF,71.0,1.0,930.0,108.0,228.0,0.47,0.0,2.0,0.0,108.0,226.0,0.48,0.47,57.0,80.0,0.71,117.0,180.0,297.0,60.0,27.0,28.0,48.0,117.0,273.0,0.0
2005,19,3071,NOH,New Orleans Hornets,David West,"August 29, 1980",24.0,NBA,SF,30.0,8.0,552.0,75.0,172.0,0.44,2.0,5.0,0.4,73.0,167.0,0.44,0.44,34.0,50.0,0.68,40.0,89.0,129.0,23.0,12.0,16.0,37.0,62.0,186.0,0.0
2006,19,3071,NOK,New Orleans/Oklahoma City Hornets,David West,"August 29, 1980",25.0,NBA,PF,74.0,74.0,2526.0,530.0,1036.0,0.51,3.0,11.0,0.27,527.0,1025.0,0.51,0.51,199.0,236.0,0.84,168.0,380.0,548.0,92.0,61.0,64.0,105.0,214.0,1262.0,0.0
2007,19,3071,NOK,New Orleans/Oklahoma City Hornets,David West,"August 29, 1980",26.0,NBA,PF,52.0,52.0,1900.0,377.0,792.0,0.48,8.0,25.0,0.32,369.0,767.0,0.48,0.48,187.0,227.0,0.82,126.0,298.0,424.0,114.0,42.0,38.0,98.0,143.0,949.0,0.0
2008,19,3071,NOH,New Orleans Hornets,David West,"August 29, 1980",27.0,NBA,PF,76.0,76.0,2870.0,629.0,1305.0,0.48,6.0,25.0,0.24,623.0,1280.0,0.49,0.48,300.0,353.0,0.85,180.0,495.0,675.0,177.0,62.0,99.0,165.0,208.0,1564.0,0.0
2009,19,3071,NOH,New Orleans Hornets,David West,"August 29, 1980",28.0,NBA,PF,76.0,76.0,2982.0,610.0,1292.0,0.47,6.0,25.0,0.24,604.0,1267.0,0.48,0.47,367.0,415.0,0.88,160.0,486.0,646.0,173.0,49.0,68.0,163.0,207.0,1593.0,0.0
2010,19,3071,NOH,New Orleans Hornets,David West,"August 29, 1980",29.0,NBA,PF,81.0,81.0,2949.0,619.0,1226.0,0.5,7.0,27.0,0.26,612.0,1199.0,0.51,0.51,296.0,342.0,0.86,164.0,441.0,605.0,239.0,76.0,60.0,173.0,233.0,1541.0,0.0
2011,19,3071,NOH,New Orleans Hornets,David West,"August 29, 1980",30.0,NBA,PF,70.0,70.0,2451.0,528.0,1040.0,0.51,2.0,9.0,0.22,526.0,1031.0,0.51,0.51,264.0,327.0,0.81,155.0,374.0,529.0,164.0,67.0,62.0,142.0,202.0,1322.0,0.0
2012,12,3071,IND,Indiana Pacers,David West,"August 29, 1980",31.0,NBA,PF,66.0,66.0,1925.0,349.0,716.0,0.49,2.0,9.0,0.22,347.0,707.0,0.49,0.49,142.0,176.0,0.81,118.0,315.0,433.0,140.0,52.0,46.0,93.0,160.0,842.0,0.0
2013,12,3071,IND,Indiana Pacers,David West,"August 29, 1980",32.0,NBA,PF,73.0,73.0,2435.0,502.0,1009.0,0.5,4.0,19.0,0.21,498.0,990.0,0.5,0.5,242.0,315.0,0.77,145.0,418.0,563.0,213.0,74.0,69.0,157.0,149.0,1250.0,1.0
2014,12,3071,IND,Indiana Pacers,David West,"August 29, 1980",33.0,NBA,PF,80.0,80.0,2472.0,458.0,939.0,0.49,4.0,15.0,0.27,454.0,924.0,0.49,0.49,198.0,251.0,0.79,120.0,422.0,542.0,223.0,61.0,74.0,133.0,186.0,1118.0,0.0
2015,12,3071,IND,Indiana Pacers,David West,"August 29, 1980",34.0,NBA,PF,66.0,66.0,1895.0,323.0,686.0,0.47,4.0,20.0,0.2,319.0,666.0,0.48,0.47,119.0,161.0,0.74,108.0,341.0,449.0,223.0,48.0,48.0,120.0,160.0,769.0,0.0
2016,27,3071,SAS,San Antonio Spurs,David West,"August 29, 1980",35.0,NBA,PF,78.0,19.0,1404.0,244.0,448.0,0.55,3.0,7.0,0.43,241.0,441.0,0.55,0.55,63.0,80.0,0.79,72.0,237.0,309.0,143.0,44.0,55.0,68.0,142.0,554.0,0.0
2017,10,3071,GSW,Golden State Warriors,David West,"August 29, 1980",36.0,NBA,C,68.0,0.0,854.0,135.0,252.0,0.54,3.0,8.0,0.38,132.0,244.0,0.54,0.54,43.0,56.0,0.77,47.0,156.0,203.0,151.0,42.0,48.0,78.0,105.0,316.0,0.0
2018,10,3071,GSW,Golden State Warriors,David West,"August 29, 1980",37.0,NBA,C,73.0,0.0,999.0,216.0,378.0,0.57,3.0,8.0,0.38,213.0,370.0,0.58,0.57,60.0,79.0,0.76,64.0,174.0,238.0,138.0,47.0,75.0,80.0,120.0,495.0,0.0
