Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2001,13,2453,LAC,Los Angeles Clippers,Quentin Richardson,1980-04-13,20.0,NBA,SG,76.0,1358.0,16.5,0.52,0.29,0.3,9.1,12.5,10.8,8.3,1.7,0.4,9.7,22.4,2.1,1.0,3.0,0.11,2.0,-1.1,0.8,0.9
2002,13,2453,LAC,Los Angeles Clippers,Quentin Richardson,1980-04-13,21.0,NBA,SG,81.0,2152.0,17.4,0.53,0.38,0.2,6.0,11.5,8.8,10.5,1.9,0.7,9.2,23.3,4.0,1.6,5.6,0.12,2.7,-0.5,2.2,2.3
2003,13,2453,LAC,Los Angeles Clippers,Quentin Richardson,1980-04-13,22.0,NBA,SG,59.0,1368.0,12.5,0.46,0.36,0.23,8.2,15.1,11.6,6.7,1.3,0.5,9.6,22.0,0.3,0.7,1.0,0.04,-0.1,-2.2,-2.3,-0.1
2004,13,2453,LAC,Los Angeles Clippers,Quentin Richardson,1980-04-13,23.0,NBA,SG,65.0,2338.0,15.1,0.48,0.32,0.19,7.1,13.2,10.1,11.2,1.5,0.6,10.9,24.6,2.0,0.4,2.4,0.05,1.7,-2.5,-0.8,0.7
2005,24,2453,PHO,Phoenix Suns,Quentin Richardson,1980-04-13,24.0,NBA,SG,79.0,2839.0,13.6,0.52,0.6,0.18,3.6,13.9,9.0,7.9,1.7,0.6,8.3,18.9,3.3,2.5,5.8,0.1,0.7,-0.2,0.5,1.8
2006,20,2453,NYK,New York Knicks,Quentin Richardson,1980-04-13,25.0,NBA,SF,55.0,1442.0,9.6,0.45,0.41,0.2,5.4,14.1,9.7,10.3,1.4,0.3,10.1,17.4,0.2,0.5,0.7,0.02,-0.8,-1.1,-1.9,0.0
2007,20,2453,NYK,New York Knicks,Quentin Richardson,1980-04-13,26.0,NBA,SF,49.0,1621.0,14.3,0.53,0.47,0.22,4.8,20.8,12.9,11.4,1.2,0.3,10.5,18.7,2.2,1.3,3.5,0.1,1.3,-0.6,0.7,1.1
2008,20,2453,NYK,New York Knicks,Quentin Richardson,1980-04-13,27.0,NBA,SF,65.0,1841.0,8.5,0.44,0.39,0.16,3.4,16.5,9.7,9.9,1.3,0.6,10.4,16.1,-0.6,0.9,0.3,0.01,-2.3,-0.5,-2.8,-0.4
2009,20,2453,NYK,New York Knicks,Quentin Richardson,1980-04-13,28.0,NBA,SG,72.0,1894.0,11.6,0.51,0.49,0.18,4.0,14.8,9.2,9.4,1.2,0.3,9.3,18.2,1.0,1.1,2.1,0.05,-0.4,-0.8,-1.2,0.4
2010,16,2453,MIA,Miami Heat,Quentin Richardson,1980-04-13,29.0,NBA,SF,76.0,2082.0,12.9,0.57,0.64,0.13,3.6,17.4,10.6,7.0,1.8,0.7,9.5,14.8,2.7,3.1,5.8,0.13,0.4,0.8,1.3,1.7
2011,22,2453,ORL,Orlando Magic,Quentin Richardson,1980-04-13,30.0,NBA,SF,57.0,955.0,8.1,0.45,0.57,0.17,4.9,16.6,10.9,6.1,1.4,0.4,10.7,14.9,-0.2,1.5,1.3,0.07,-2.4,0.9,-1.5,0.1
2012,22,2453,ORL,Orlando Magic,Quentin Richardson,1980-04-13,31.0,NBA,SF,48.0,866.0,8.7,0.51,0.61,0.15,2.0,14.6,8.2,7.0,1.7,0.5,12.1,13.0,0.4,0.9,1.3,0.07,-2.5,1.0,-1.6,0.1
2013,20,2453,NYK,New York Knicks,Quentin Richardson,1980-04-13,32.0,NBA,SF,1.0,29.0,0.7,0.21,0.36,0.18,19.5,20.9,20.2,4.8,0.0,0.0,14.4,22.4,-0.1,0.0,-0.1,-0.18,-7.9,-7.1,-14.9,-0.1
