Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1992,18,MIN,Minnesota Timberwolves,41,Thurl Bailey,PF,6-11,215,1961-04-07,US,8,NC State
1992,18,MIN,Minnesota Timberwolves,45,Randy Breuer,C,7-3,230,1960-10-11,US,8,Minnesota
1992,18,MIN,Minnesota Timberwolves,1,Scott Brooks,PG,5-11,165,1965-07-31,US,3,"TCU, University of California, Irvine"
1992,18,MIN,Minnesota Timberwolves,34,Myron Brown,PG,6-3,180,1969-11-03,US,R,Slippery Rock University of Pennsylvania
1992,18,MIN,Minnesota Timberwolves,19,Tony Campbell,SF,6-7,215,1962-05-07,US,7,Ohio State
1992,18,MIN,Minnesota Timberwolves,23,Tyrone Corbin,SF,6-6,210,1962-12-31,US,6,DePaul
1992,18,MIN,Minnesota Timberwolves,32,Tellis Frank,PF,6-10,225,1965-04-26,US,3,Western Kentucky
1992,18,MIN,Minnesota Timberwolves,22,Tom Garrick,SG,6-2,185,1966-07-07,US,3,Rhode Island
1992,18,MIN,Minnesota Timberwolves,4,Gerald Glass,SF,6-5,221,1967-11-12,US,1,"Delta State University, Ole Miss"
1992,18,MIN,Minnesota Timberwolves,13,Luc Longley,C,7-2,265,1969-01-19,AU,R,New Mexico
1992,18,MIN,Minnesota Timberwolves,42,Sam Mitchell,PF,6-6,210,1963-09-02,US,2,Mercer University
1992,18,MIN,Minnesota Timberwolves,9,Tod Murphy,PF,6-9,220,1963-12-24,US,3,"University of California, Irvine"
1992,18,MIN,Minnesota Timberwolves,52,Mark Randall,PF,6-8,235,1967-09-30,US,R,Kansas
1992,18,MIN,Minnesota Timberwolves,24,Pooh Richardson,PG,6-1,180,1966-05-14,US,2,UCLA
1992,18,MIN,Minnesota Timberwolves,50,Felton Spencer,C,7-0,265,1968-01-15,US,1,Louisville
1992,18,MIN,Minnesota Timberwolves,5,Doug West,SG,6-6,200,1967-05-27,US,2,Villanova
