Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2017,3,BRK,Brooklyn Nets,13,Quincy Acy,PF,6-7,240,1990-10-06,US,4,Baylor
2017,3,BRK,Brooklyn Nets,13,Anthony Bennett,PF,6-8,245,1993-03-14,CA,3,UNLV
2017,3,BRK,Brooklyn Nets,44,Bojan Bogdanovic,SF,6-8,226,1989-04-18,BA,2,
2017,3,BRK,Brooklyn Nets,35,Trevor Booker,PF,6-8,228,1987-11-25,US,6,Clemson
2017,3,BRK,Brooklyn Nets,8,Spencer Dinwiddie,PG,6-5,215,1993-04-06,US,2,Colorado
2017,3,BRK,Brooklyn Nets,10,Yogi Ferrell,PG,6-0,178,1993-05-09,US,R,Indiana
2017,3,BRK,Brooklyn Nets,2,Randy Foye,SG,6-4,213,1983-09-24,US,10,Villanova
2017,3,BRK,Brooklyn Nets,10,Archie Goodwin,SG,6-5,200,1994-08-17,US,3,Kentucky
2017,3,BRK,Brooklyn Nets,41,Justin Hamilton,C,7-0,260,1990-04-01,US,2,"Iowa State, LSU"
2017,3,BRK,Brooklyn Nets,12,Joe Harris,SG,6-6,220,1991-09-06,US,2,Virginia
2017,3,BRK,Brooklyn Nets,24,Rondae Hollis-Jefferson,SF,6-6,217,1995-01-03,US,1,Arizona
2017,3,BRK,Brooklyn Nets,6,Sean Kilpatrick,SG,6-4,210,1990-01-06,US,2,Cincinnati
2017,3,BRK,Brooklyn Nets,22,Caris LeVert,SF,6-6,205,1994-08-25,US,R,Michigan
2017,3,BRK,Brooklyn Nets,7,Jeremy Lin,PG,6-3,200,1988-08-23,US,6,Harvard University
2017,3,BRK,Brooklyn Nets,11,Brook Lopez,C,7-0,282,1988-04-01,US,8,Stanford
2017,3,BRK,Brooklyn Nets,1,Chris McCullough,PF,6-11,200,1995-02-05,US,1,Syracuse
2017,3,BRK,Brooklyn Nets,14,K.J. McDaniels,SF,6-6,205,1993-02-09,US,2,Clemson
2017,3,BRK,Brooklyn Nets,44,Andrew Nicholson,PF,6-9,250,1989-12-08,CA,4,St. Bonaventure
2017,3,BRK,Brooklyn Nets,4,Luis Scola,PF,6-9,240,1980-04-30,AR,9,
2017,3,BRK,Brooklyn Nets,21,Greivis Vasquez,PG,6-6,217,1987-01-16,VE,6,Maryland
2017,3,BRK,Brooklyn Nets,15,Isaiah Whitehead,PG,6-4,213,1995-03-08,US,R,Seton Hall
