Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1986,25,2341,POR,Portland Trail Blazers,Terry Porter,"April 8, 1963",22.0,NBA,PG,4.0,68.0,9.6,0.47,0.22,0.15,1.7,5.7,3.9,24.2,2.0,1.5,17.3,20.4,-0.1,0.0,0.0,-0.02,-2.0,-0.9,-2.9,0.0
1987,25,2341,POR,Portland Trail Blazers,Terry Porter,"April 8, 1963",23.0,NBA,PG,4.0,150.0,19.1,0.58,0.1,0.4,0.7,13.7,7.2,39.3,3.2,0.8,18.1,19.6,0.2,0.2,0.4,0.14,3.3,1.9,5.2,0.3
1988,25,2341,POR,Portland Trail Blazers,Terry Porter,"April 8, 1963",24.0,NBA,PG,4.0,149.0,16.6,0.59,0.06,0.25,2.6,8.6,5.2,28.5,3.2,0.0,18.4,18.4,0.2,0.2,0.4,0.13,2.5,1.1,3.6,0.2
1989,25,2341,POR,Portland Trail Blazers,Terry Porter,"April 8, 1963",25.0,NBA,PG,3.0,124.0,19.0,0.58,0.21,0.23,4.8,10.2,7.1,29.7,0.4,0.5,10.9,21.1,0.3,-0.1,0.2,0.1,4.6,-1.6,3.0,0.2
1990,25,2341,POR,Portland Trail Blazers,Terry Porter,"April 8, 1963",26.0,NBA,PG,21.0,815.0,18.5,0.62,0.37,0.6,1.2,7.4,4.1,29.4,1.7,0.2,15.2,20.5,2.3,0.7,2.9,0.17,4.8,0.4,5.2,1.4
1991,25,2341,POR,Portland Trail Blazers,Terry Porter,"April 8, 1963",27.0,NBA,PG,16.0,595.0,18.7,0.6,0.23,0.39,1.5,7.4,4.4,27.7,2.1,0.1,11.8,19.6,1.6,0.6,2.2,0.18,4.5,0.8,5.3,1.1
1992,25,2341,POR,Portland Trail Blazers,Terry Porter,"April 8, 1963",28.0,NBA,PG,21.0,870.0,19.5,0.65,0.27,0.5,3.5,10.0,6.8,24.9,1.3,0.2,11.7,19.5,3.0,0.7,3.7,0.2,5.2,0.2,5.4,1.6
1993,25,2341,POR,Portland Trail Blazers,Terry Porter,"April 8, 1963",29.0,NBA,PG,4.0,152.0,11.2,0.45,0.28,0.16,2.6,12.5,7.1,9.3,1.4,0.0,7.6,22.1,0.0,0.2,0.2,0.06,-1.2,-0.4,-1.6,0.0
1994,25,2341,POR,Portland Trail Blazers,Terry Porter,"April 8, 1963",30.0,NBA,PG,4.0,76.0,19.9,0.5,0.4,0.4,1.4,17.6,8.9,17.0,2.7,0.0,4.6,23.9,0.2,0.0,0.2,0.12,3.2,0.0,3.2,0.1
1995,25,2341,POR,Portland Trail Blazers,Terry Porter,"April 8, 1963",31.0,NBA,PG,3.0,21.0,28.5,0.62,0.38,0.38,5.3,6.5,5.9,40.9,0.0,0.0,6.2,35.3,0.1,0.0,0.1,0.18,7.5,-0.1,7.4,0.1
1997,18,2341,MIN,Minnesota Timberwolves,Terry Porter,"April 8, 1963",33.0,NBA,PG,3.0,46.0,18.2,0.54,0.69,0.31,2.2,5.9,3.8,27.0,2.3,4.2,11.9,16.5,0.1,0.0,0.1,0.06,5.1,0.8,5.9,0.1
1998,18,2341,MIN,Minnesota Timberwolves,Terry Porter,"April 8, 1963",34.0,NBA,PG,5.0,188.0,17.0,0.56,0.4,0.29,4.1,12.4,7.9,15.5,1.5,0.0,5.3,18.6,0.5,0.0,0.5,0.13,3.3,-0.4,3.0,0.2
1999,16,2341,MIA,Miami Heat,Terry Porter,"April 8, 1963",35.0,NBA,PG,5.0,139.0,16.1,0.58,0.38,0.47,2.8,14.3,8.6,23.5,1.3,0.0,17.2,17.6,0.2,0.1,0.3,0.11,1.4,0.2,1.6,0.1
2000,27,2341,SAS,San Antonio Spurs,Terry Porter,"April 8, 1963",36.0,NBA,PG,4.0,89.0,1.1,0.32,0.45,0.0,0.0,1.1,0.6,11.3,3.6,0.0,18.4,19.4,-0.4,0.2,-0.2,-0.09,-4.7,-0.5,-5.2,-0.1
2001,27,2341,SAS,San Antonio Spurs,Terry Porter,"April 8, 1963",37.0,NBA,PG,13.0,326.0,12.9,0.56,0.45,0.26,0.3,7.3,4.0,23.4,1.8,0.0,18.7,17.0,0.3,0.3,0.6,0.08,0.9,0.9,1.8,0.3
2002,27,2341,SAS,San Antonio Spurs,Terry Porter,"April 8, 1963",38.0,NBA,PG,10.0,131.0,7.2,0.45,0.49,0.11,0.9,7.1,4.0,10.4,1.7,0.0,12.0,15.5,-0.1,0.1,0.0,0.01,-3.8,-1.1,-4.8,-0.1
