Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1980,21,2625,SEA,Seattle Supersonics,Jack Sikma,"November 14, 1955",24.0,NBA,C,82.0,,2793.0,470.0,989.0,0.48,0.0,1.0,0.0,470.0,988.0,0.48,0.48,235.0,292.0,0.8,198.0,710.0,908.0,279.0,68.0,77.0,202.0,232.0,1175.0,,0.0
1981,21,2625,SEA,Seattle Supersonics,Jack Sikma,"November 14, 1955",25.0,NBA,C,82.0,,2920.0,595.0,1311.0,0.45,0.0,5.0,0.0,595.0,1306.0,0.46,0.45,340.0,413.0,0.82,184.0,668.0,852.0,248.0,78.0,93.0,201.0,282.0,1530.0,,0.0
1982,21,2625,SEA,Seattle Supersonics,Jack Sikma,"November 14, 1955",26.0,NBA,C,82.0,82.0,3049.0,581.0,1212.0,0.48,2.0,13.0,0.15,579.0,1199.0,0.48,0.48,447.0,523.0,0.86,223.0,815.0,1038.0,277.0,102.0,107.0,213.0,268.0,1611.0,,1.0
1983,21,2625,SEA,Seattle Supersonics,Jack Sikma,"November 14, 1955",27.0,NBA,C,75.0,71.0,2564.0,484.0,1043.0,0.46,0.0,8.0,0.0,484.0,1035.0,0.47,0.46,400.0,478.0,0.84,213.0,645.0,858.0,233.0,87.0,65.0,190.0,263.0,1368.0,,0.0
1984,21,2625,SEA,Seattle Supersonics,Jack Sikma,"November 14, 1955",28.0,NBA,C,82.0,82.0,2993.0,576.0,1155.0,0.5,0.0,2.0,0.0,576.0,1153.0,0.5,0.5,411.0,480.0,0.86,225.0,686.0,911.0,327.0,95.0,92.0,236.0,301.0,1563.0,,1.0
1985,21,2625,SEA,Seattle Supersonics,Jack Sikma,"November 14, 1955",29.0,NBA,C,68.0,68.0,2402.0,461.0,943.0,0.49,2.0,10.0,0.2,459.0,933.0,0.49,0.49,335.0,393.0,0.85,164.0,559.0,723.0,285.0,83.0,91.0,160.0,239.0,1259.0,,1.0
1986,21,2625,SEA,Seattle Supersonics,Jack Sikma,"November 14, 1955",30.0,NBA,C,80.0,78.0,2790.0,508.0,1100.0,0.46,0.0,13.0,0.0,508.0,1087.0,0.47,0.46,355.0,411.0,0.86,146.0,602.0,748.0,301.0,92.0,73.0,214.0,293.0,1371.0,,0.0
1987,17,2625,MIL,Milwaukee Bucks,Jack Sikma,"November 14, 1955",31.0,NBA,C,82.0,82.0,2536.0,390.0,842.0,0.46,0.0,2.0,0.0,390.0,840.0,0.46,0.46,265.0,313.0,0.85,208.0,614.0,822.0,203.0,88.0,90.0,160.0,328.0,1045.0,,0.0
1988,17,2625,MIL,Milwaukee Bucks,Jack Sikma,"November 14, 1955",32.0,NBA,C,82.0,82.0,2923.0,514.0,1058.0,0.49,3.0,14.0,0.21,511.0,1044.0,0.49,0.49,321.0,348.0,0.92,195.0,514.0,709.0,279.0,93.0,80.0,157.0,316.0,1352.0,,0.0
1989,17,2625,MIL,Milwaukee Bucks,Jack Sikma,"November 14, 1955",33.0,NBA,C,80.0,80.0,2587.0,360.0,835.0,0.43,82.0,216.0,0.38,278.0,619.0,0.45,0.48,266.0,294.0,0.9,141.0,482.0,623.0,289.0,85.0,61.0,145.0,300.0,1068.0,,0.0
1990,17,2625,MIL,Milwaukee Bucks,Jack Sikma,"November 14, 1955",34.0,NBA,C,71.0,70.0,2250.0,344.0,827.0,0.42,68.0,199.0,0.34,276.0,628.0,0.44,0.46,230.0,260.0,0.88,109.0,383.0,492.0,229.0,76.0,48.0,139.0,244.0,986.0,,0.0
1991,17,2625,MIL,Milwaukee Bucks,Jack Sikma,"November 14, 1955",35.0,NBA,C,77.0,44.0,1940.0,295.0,691.0,0.43,46.0,135.0,0.34,249.0,556.0,0.45,0.46,166.0,197.0,0.84,108.0,333.0,441.0,143.0,65.0,64.0,130.0,218.0,802.0,,0.0
