Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1987,7,DAL,Dallas Mavericks,55,27,.671,—,116.7,110.4,5.54
1987,29,UTA,Utah Jazz,44,38,.537,11.0,107.9,107.5,0.04
1987,11,HOU,Houston Rockets,42,40,.512,13.0,106.9,105.9,0.60
1987,8,DEN,Denver Nuggets,37,45,.451,18.0,116.7,117.6,-1.14
1987,26,SAC,Sacramento Kings,29,53,.354,26.0,110.9,114.1,-3.34
1987,27,SAS,San Antonio Spurs,28,54,.341,27.0,108.3,113.4,-5.09
1987,14,LAL,Los Angeles Lakers,65,17,.793,—,117.8,108.5,8.32
1987,25,POR,Portland Trail Blazers,49,33,.598,16.0,117.9,114.8,2.57
1987,10,GSW,Golden State Warriors,42,40,.512,23.0,112.0,114.4,-2.54
1987,21,SEA,Seattle Supersonics,39,43,.476,26.0,113.7,113.3,0.08
1987,24,PHO,Phoenix Suns,36,46,.439,29.0,111.1,113.5,-2.63
1987,13,LAC,Los Angeles Clippers,12,70,.146,53.0,104.5,115.9,-11.00
