Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1983,10,588,GSW,Golden State Warriors,Lester Conner,"September 17, 1959",23.0,NBA,PG,75.0,10.0,1416.0,4.7,9.9,0.48,0.0,0.1,0.0,4.7,9.7,0.48,2.6,3.7,0.7,2.2,5.0,7.2,8.2,3.8,0.2,3.2,4.6,12.0,,106.0,105.0
1984,10,588,GSW,Golden State Warriors,Lester Conner,"September 17, 1959",24.0,NBA,SG,82.0,82.0,2573.0,6.5,13.2,0.49,0.0,0.1,0.17,6.5,13.1,0.5,3.4,4.7,0.72,2.4,3.1,5.5,7.2,2.9,0.2,2.6,3.2,16.4,,114.0,109.0
1985,10,588,GSW,Golden State Warriors,Lester Conner,"September 17, 1959",25.0,NBA,PG,79.0,49.0,2258.0,5.1,11.2,0.45,0.1,0.4,0.2,5.0,10.8,0.46,3.0,4.0,0.75,1.8,3.3,5.1,7.6,3.3,0.3,2.8,2.8,13.2,,107.0,112.0
1986,10,588,GSW,Golden State Warriors,Lester Conner,"September 17, 1959",26.0,NBA,PG,36.0,0.0,413.0,5.7,15.2,0.38,0.2,0.8,0.29,5.5,14.4,0.38,4.5,6.0,0.74,2.8,4.1,6.9,4.8,2.7,0.1,1.7,2.6,16.1,,106.0,111.0
1988,11,588,HOU,Houston Rockets,Lester Conner,"September 17, 1959",28.0,NBA,PG,52.0,3.0,399.0,5.9,12.8,0.46,0.0,0.8,0.0,5.9,11.9,0.5,3.8,4.8,0.78,2.4,2.1,4.5,7.0,4.5,0.1,3.9,3.7,15.6,,103.0,104.0
1989,3,588,NJN,New Jersey Nets,Lester Conner,"September 17, 1959",29.0,NBA,PG,82.0,63.0,2532.0,5.9,12.8,0.46,0.2,0.7,0.35,5.6,12.1,0.46,4.0,5.1,0.79,1.9,4.8,6.7,11.4,3.4,0.1,3.4,2.5,16.0,,112.0,108.0
1990,3,588,NJN,New Jersey Nets,Lester Conner,"September 17, 1959",30.0,NBA,PG,82.0,61.0,2355.0,4.9,11.8,0.41,0.0,0.3,0.15,4.8,11.5,0.42,3.5,4.4,0.8,1.8,3.6,5.4,7.9,3.5,0.2,2.8,3.7,13.3,,105.0,108.0
1991,31,588,TOT,Total After Trade,Lester Conner,"September 17, 1959",31.0,NBA,PG,74.0,4.0,1008.0,4.7,10.1,0.46,0.0,0.2,0.0,4.7,9.9,0.48,3.3,4.6,0.72,1.0,4.4,5.5,8.0,4.1,0.1,2.8,3.7,12.7,,108.0,105.0
1991,3,588,NJN,New Jersey Nets,Lester Conner,"September 17, 1959",31.0,NBA,PG,35.0,2.0,489.0,5.7,11.0,0.52,0.0,0.2,0.0,5.7,10.8,0.53,2.9,4.2,0.69,1.1,4.5,5.6,5.7,3.7,0.1,2.7,3.8,14.3,,110.0,106.0
1991,17,588,MIL,Milwaukee Bucks,Lester Conner,"September 17, 1959",31.0,NBA,PG,39.0,2.0,519.0,3.7,9.2,0.4,0.0,0.3,0.0,3.7,8.9,0.41,3.8,5.0,0.75,1.0,4.3,5.3,10.3,4.6,0.1,3.0,3.6,11.1,,106.0,104.0
1992,17,588,MIL,Milwaukee Bucks,Lester Conner,"September 17, 1959",32.0,NBA,PG,81.0,9.0,1420.0,3.6,8.5,0.43,0.0,0.2,0.0,3.6,8.2,0.44,2.9,4.1,0.7,2.2,4.3,6.5,10.4,3.4,0.4,2.8,3.0,10.2,,112.0,109.0
1993,13,588,LAC,Los Angeles Clippers,Lester Conner,"September 17, 1959",33.0,NBA,PG,31.0,0.0,422.0,3.2,7.1,0.45,0.0,0.0,,3.2,7.1,0.45,2.1,2.2,0.95,1.8,3.8,5.6,7.5,3.9,0.5,2.4,4.5,8.5,,110.0,106.0
1994,12,588,IND,Indiana Pacers,Lester Conner,"September 17, 1959",34.0,NBA,PG,11.0,0.0,169.0,4.3,11.6,0.37,0.0,0.9,0.0,4.3,10.7,0.4,0.9,1.8,0.5,3.0,4.3,7.3,9.4,4.3,0.3,2.7,3.7,9.4,,97.0,102.0
1995,14,588,LAL,Los Angeles Lakers,Lester Conner,"September 17, 1959",35.0,NBA,SG,2.0,0.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,20.2,20.2,1.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,30.3,20.2,,250.0,96.0
