Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,6,2000,CLE,Cleveland Cavaliers,Chris Mills,"January 25, 1970",24.0,NBA,SF,79.0,18.0,2022.0,284.0,677.0,0.42,38.0,122.0,0.31,246.0,555.0,0.44,0.45,137.0,176.0,0.78,134.0,267.0,401.0,128.0,54.0,50.0,89.0,232.0,743.0
1995,6,2000,CLE,Cleveland Cavaliers,Chris Mills,"January 25, 1970",25.0,NBA,SF,80.0,79.0,2814.0,359.0,855.0,0.42,94.0,240.0,0.39,265.0,615.0,0.43,0.48,174.0,213.0,0.82,99.0,267.0,366.0,154.0,59.0,35.0,120.0,242.0,986.0
1996,6,2000,CLE,Cleveland Cavaliers,Chris Mills,"January 25, 1970",26.0,NBA,SF,80.0,80.0,3060.0,454.0,971.0,0.47,79.0,210.0,0.38,375.0,761.0,0.49,0.51,218.0,263.0,0.83,112.0,331.0,443.0,188.0,73.0,52.0,121.0,241.0,1205.0
1997,6,2000,CLE,Cleveland Cavaliers,Chris Mills,"January 25, 1970",27.0,NBA,SF,80.0,79.0,3167.0,405.0,894.0,0.45,86.0,220.0,0.39,319.0,674.0,0.47,0.5,176.0,209.0,0.84,118.0,379.0,497.0,198.0,86.0,41.0,120.0,222.0,1072.0
1998,20,2000,NYK,New York Knicks,Chris Mills,"January 25, 1970",28.0,NBA,SF,80.0,29.0,2183.0,292.0,675.0,0.43,40.0,137.0,0.29,252.0,538.0,0.47,0.46,152.0,189.0,0.8,120.0,288.0,408.0,133.0,45.0,30.0,107.0,218.0,776.0
1999,10,2000,GSW,Golden State Warriors,Chris Mills,"January 25, 1970",29.0,NBA,SF,47.0,24.0,1395.0,186.0,453.0,0.41,32.0,115.0,0.28,154.0,338.0,0.46,0.45,79.0,96.0,0.82,49.0,188.0,237.0,103.0,39.0,14.0,58.0,125.0,483.0
2000,10,2000,GSW,Golden State Warriors,Chris Mills,"January 25, 1970",30.0,NBA,SF,20.0,11.0,649.0,123.0,292.0,0.42,8.0,30.0,0.27,115.0,262.0,0.44,0.44,68.0,84.0,0.81,46.0,77.0,123.0,47.0,18.0,4.0,25.0,60.0,322.0
2001,10,2000,GSW,Golden State Warriors,Chris Mills,"January 25, 1970",31.0,NBA,SF,15.0,8.0,493.0,71.0,191.0,0.37,7.0,25.0,0.28,64.0,166.0,0.39,0.39,31.0,36.0,0.86,24.0,69.0,93.0,18.0,9.0,5.0,20.0,43.0,180.0
2002,10,2000,GSW,Golden State Warriors,Chris Mills,"January 25, 1970",32.0,NBA,SF,66.0,0.0,1237.0,178.0,427.0,0.42,48.0,127.0,0.38,130.0,300.0,0.43,0.47,85.0,107.0,0.79,51.0,139.0,190.0,72.0,31.0,13.0,56.0,120.0,489.0
2003,10,2000,GSW,Golden State Warriors,Chris Mills,"January 25, 1970",33.0,NBA,PF,21.0,0.0,262.0,39.0,106.0,0.37,7.0,25.0,0.28,32.0,81.0,0.4,0.4,16.0,18.0,0.89,19.0,31.0,50.0,22.0,7.0,3.0,10.0,29.0,101.0
