PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Dean Wade,2020,2021,F,6-9,228.0,"November 20, 1996",Kansas State
Dwyane Wade,2004,2019,G,6-4,220.0,"January 17, 1982",Marquette
Mark Wade,1988,1990,G,5-11,160.0,"October 15, 1965","Oklahoma, UNLV"
Von Wafer,2006,2012,G,6-5,210.0,"July 21, 1985",Florida State
Dajuan Wagner,2003,2007,G,6-2,200.0,"February 4, 1983",Memphis
Milt Wagner,1988,1991,G,6-5,185.0,"February 20, 1963",Louisville
Moritz Wagner,2019,2021,F-C,6-11,245.0,"April 26, 1997",Michigan
Dion Waiters,2013,2020,G,6-3,215.0,"December 10, 1991",Syracuse
Granville Waiters,1984,1988,C,6-11,225.0,"January 8, 1961",Ohio State
Andre Wakefield,1979,1980,G,6-3,175.0,"January 11, 1955",Loyola Chicago
Antoine Walker,1997,2008,F,6-8,224.0,"August 12, 1976",Kentucky
Darrell Walker,1984,1993,G,6-4,180.0,"March 9, 1961",Arkansas
Foots Walker,1975,1984,G,6-0,184.0,"May 21, 1951",West Georgia
Henry Walker,2009,2015,F,6-6,220.0,"October 9, 1987",Kansas State
Kemba Walker,2012,2020,G,6-0,184.0,"May 8, 1990",UConn
Kenny Walker,1987,1995,F,6-8,210.0,"August 18, 1964",Kentucky
Lonnie Walker,2019,2021,G,6-5,204.0,"December 14, 1998",Miami (FL)
Samaki Walker,1997,2006,F,6-9,240.0,"February 25, 1976",Louisville
Wally Walker,1977,1984,F,6-7,190.0,"July 18, 1954",Virginia
John Wall,2011,2021,G,6-4,210.0,"September 6, 1990",Kentucky
Ben Wallace,1997,2012,F-C,6-9,240.0,"September 10, 1974",Virginia Union University
Gerald Wallace,2002,2015,F,6-7,215.0,"July 23, 1982",Alabama
John Wallace,1997,2004,F,6-8,225.0,"February 9, 1974",Syracuse
Rasheed Wallace,1996,2013,F-C,6-10,225.0,"September 17, 1974",UNC
