PLAYER,FROM,TO,POS,HEIGHT,WEIGHT,BIRTH_DATE,COLLEGE
Sheldon Mac,2017,2017,G,6-5,200.0,"December 21, 1992",Miami (FL)
Todd MacCulloch,2000,2003,C,7-0,280.0,"January 27, 1976",Washington
Don MacLean,1993,2001,F,6-10,235.0,"January 16, 1970",UCLA
Scott Machado,2013,2019,G,6-1,205.0,"June 8, 1990",Iona College
Arvydas Macijauskas,2006,2006,G,6-4,214.0,"January 19, 1980",
Ollie Mack,1980,1982,G,6-3,185.0,"June 6, 1957",East Carolina University
Sam Mack,1993,2002,F-G,6-7,220.0,"May 26, 1970","Iowa State, Tyler Junior College, Houston"
Shelvin Mack,2012,2019,G,6-3,203.0,"April 22, 1990",Butler
Malcolm Mackey,1994,1994,F-C,6-9,248.0,"July 11, 1970",Georgia Tech
Rudy Macklin,1982,1984,F-G,6-7,205.0,"February 19, 1958",LSU
Vernon Macklin,2012,2012,F,6-10,227.0,"September 20, 1986","Georgetown, Florida"
Daryl Macon,2019,2020,G,6-2,185.0,"November 29, 1995",Arkansas
Mark Macon,1992,1999,G,6-5,185.0,"April 14, 1969",Temple
J.P. Macura,2019,2020,G,6-5,203.0,"June 5, 1995",Xavier
Kyle Macy,1981,1987,G,6-3,175.0,"April 9, 1957","Purdue, Kentucky"
Tito Maddox,2003,2003,G,6-4,190.0,"June 7, 1981",Fresno State
Gerald Madkins,1994,1998,G,6-4,200.0,"April 18, 1969",UCLA
Mark Madsen,2001,2009,F,6-9,240.0,"January 28, 1976",Stanford
Josh Magette,2018,2020,G,6-1,160.0,"November 28, 1989",Alabama-Huntsville
Corey Maggette,2000,2013,F,6-6,218.0,"November 12, 1979",Duke
Dave Magley,1983,1983,F,6-8,202.0,"November 24, 1959",Kansas
Jamaal Magloire,2001,2012,C,6-11,259.0,"May 21, 1978",Kentucky
Ian Mahinmi,2008,2020,C,6-11,262.0,"November 5, 1986",
Rick Mahorn,1981,1999,C-F,6-10,240.0,"September 21, 1958",Hampton
Dan Majerle,1989,2002,G-F,6-6,215.0,"September 9, 1965",Central Michigan University
Renaldo Major,2007,2007,F,6-7,200.0,"May 7, 1982","South Plains College, Fresno State"
Thon Maker,2017,2021,F-C,7-0,221.0,"February 25, 1997",
Theo Maledon,2021,2021,G,6-4,180.0,"June 12, 2001",
Jeff Malone,1984,1996,G,6-4,205.0,"June 28, 1961",Mississippi State
Karl Malone,1986,2004,F,6-9,250.0,"July 24, 1963",Louisiana Tech
Moses Malone,1975,1995,C-F,6-10,215.0,"March 23, 1955",
Matt Maloney,1997,2003,G,6-3,192.0,"December 6, 1971","Vanderbilt, Penn"
Steve Malovic,1980,1980,F,6-10,230.0,"July 21, 1956","USC, San Diego State"
Karim Mane,2021,2021,G,6-5,185.0,"May 16, 2000",Vanier College
Terance Mann,2020,2021,G-F,6-5,215.0,"October 18, 1996",Florida State
Danny Manning,1989,2003,F-C,6-10,230.0,"May 17, 1966",Kansas
Rich Manning,1996,1997,C,6-11,253.0,"June 23, 1970","Syracuse, Washington"
Pace Mannion,1984,1989,G,6-7,190.0,"September 22, 1960",Utah
Pete Maravich,1971,1980,G,6-5,197.0,"June 22, 1947",LSU
Devyn Marble,2015,2016,G-F,6-6,200.0,"September 21, 1992",Iowa
Roy Marble,1990,1994,G-F,6-6,190.0,"December 13, 1966",Iowa
Stephon Marbury,1997,2009,G,6-2,180.0,"February 20, 1977",Georgia Tech
Sarunas Marciulionis,1990,1997,G,6-5,200.0,"June 13, 1964",
Shawn Marion,2000,2015,F,6-7,220.0,"May 7, 1978",UNLV
Boban Marjanovic,2016,2021,C,7-4,290.0,"August 15, 1988",
Lauri Markkanen,2018,2021,F-C,7-0,240.0,"May 22, 1997",Arizona
Damir Markota,2007,2007,C,6-10,225.0,"December 26, 1985",
Sean Marks,1999,2011,F-C,6-10,250.0,"August 23, 1975",California
Donny Marshall,1996,2003,F,6-7,230.0,"July 17, 1972",UConn
Donyell Marshall,1995,2009,F,6-9,218.0,"May 18, 1973",UConn
Kendall Marshall,2013,2016,G,6-4,200.0,"August 19, 1991",UNC
Rawle Marshall,2006,2007,G-F,6-9,190.0,"February 20, 1982","Ball State University, Oakland"
Bill Martin,1986,1988,F,6-7,205.0,"August 16, 1962",Georgetown
Bob Martin,1994,1995,C,7-0,250.0,"October 7, 1969",Minnesota
Brian Martin,1986,1986,F,6-9,212.0,"August 18, 1962",Kansas
Caleb Martin,2020,2021,F,6-5,205.0,"September 28, 1995","NC State, Nevada"
Cartier Martin,2009,2015,F,6-7,220.0,"November 20, 1984",Kansas State
Cody Martin,2020,2021,G-F,6-5,205.0,"September 28, 1995","NC State, Nevada"
Cuonzo Martin,1996,1997,G-F,6-5,213.0,"September 23, 1971",Purdue
Darrick Martin,1995,2008,G,5-11,170.0,"March 6, 1971",UCLA
Fernando MartA­n,1987,1987,C,6-9,220.0,"March 25, 1962",
Jarell Martin,2016,2019,F,6-10,239.0,"May 24, 1994",LSU
Jeff Martin,1990,1991,G,6-5,195.0,"January 14, 1967",Murray State
Jeremiah Martin,2020,2020,G,6-3,185.0,"June 19, 1996",Memphis
Kelan Martin,2020,2021,F,6-5,230.0,"August 3, 1995",Butler
Kenyon Martin,2001,2015,F,6-9,234.0,"December 30, 1977",Cincinnati
Kevin Martin,2005,2016,G,6-7,199.0,"February 1, 1983",Western Carolina University
Maurice Martin,1987,1988,F-G,6-6,200.0,"July 2, 1964",Saint Joseph's
Jamal Mashburn,1994,2004,F,6-8,240.0,"November 29, 1972",Kentucky
Anthony Mason,1990,2003,F,6-7,250.0,"December 14, 1966",Tennessee State
Desmond Mason,2001,2010,F,6-7,224.0,"October 11, 1977",Oklahoma State
Frank Mason,2018,2020,G,5-11,190.0,"April 3, 1994",Kansas
Roger Mason,2003,2014,G,6-5,200.0,"September 10, 1980",Virginia
Tony Massenburg,1991,2005,F,6-9,220.0,"July 31, 1967",Maryland
Yante Maten,2019,2019,F,6-8,240.0,"August 14, 1996",Georgia
Garrison Mathews,2020,2021,G,6-5,215.0,"October 24, 1996",Lipscomb
Mangok Mathiang,2018,2018,C-F,6-10,230.0,"October 8, 1992",Louisville
Dakota Mathias,2021,2021,G,6-4,197.0,"July 11, 1995",Purdue
Wes Matthews,1981,1990,G,6-1,170.0,"August 24, 1959",Wisconsin
Wesley Matthews,2010,2021,G,6-4,220.0,"October 14, 1986",Marquette
Marlon Maxey,1993,1994,F,6-8,250.0,"February 19, 1969","Minnesota, Texas-El Paso"
Tyrese Maxey,2021,2021,G,6-3,198.0,"November 4, 2000",Kentucky
Jason Maxiell,2006,2015,F,6-7,260.0,"February 18, 1983",Cincinnati
Cedric Maxwell,1978,1988,F,6-8,205.0,"November 21, 1955",UNC Charlotte
Vernon Maxwell,1989,2001,G,6-4,180.0,"September 12, 1965",Florida
Scott May,1977,1983,F,6-7,215.0,"March 19, 1954",Indiana
Sean May,2006,2010,F,6-9,266.0,"April 4, 1984",UNC
