Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2016,9,96,DET,Detroit Pistons,50,Joel Anthony,C,6-9,245,"August 9, 1982",CA,8,UNLV
2016,9,196,DET,Detroit Pistons,12,Aron Baynes,C,6-10,260,"December 9, 1986",NZ,3,Washington State
2016,9,260,DET,Detroit Pistons,22,Steve Blake,PG,6-3,172,"February 26, 1980",US,12,Maryland
2016,9,420,DET,Detroit Pistons,25,Reggie Bullock,SF,6-6,205,"March 16, 1991",US,2,UNC
2016,9,455,DET,Detroit Pistons,5,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",US,2,Georgia
2016,9,750,DET,Detroit Pistons,8,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",US,1,Colorado
2016,9,790,DET,Detroit Pistons,0,Andre Drummond,C,6-10,279,"August 10, 1993",US,3,UConn
2016,9,1189,DET,Detroit Pistons,32,Justin Harper,PF,6-10,225,"August 30, 1989",US,1,Richmond
2016,9,1209,DET,Detroit Pistons,34,Tobias Harris,PF,6-8,226,"July 15, 1992",US,4,Tennessee
2016,9,1294,DET,Detroit Pistons,6,Darrun Hilliard,SG,6-6,205,"April 13, 1993",US,R,Villanova
2016,9,1380,DET,Detroit Pistons,23,Ersan Ilyasova,PF,6-9,235,"May 15, 1987",TR,7,
2016,9,1415,DET,Detroit Pistons,1,Reggie Jackson,PG,6-2,208,"April 16, 1990",IT,4,Boston College
2016,9,1450,DET,Detroit Pistons,7,Brandon Jennings,PG,6-1,170,"September 23, 1989",US,6,
2016,9,1511,DET,Detroit Pistons,3,Stanley Johnson,SF,6-6,242,"May 29, 1996",US,R,Arizona
2016,9,1962,DET,Detroit Pistons,20,Jodie Meeks,SG,6-4,210,"August 21, 1987",US,6,Kentucky
2016,9,2052,DET,Detroit Pistons,13,Marcus Morris,SF,6-8,218,"September 2, 1989",US,4,Kansas
2016,9,2891,DET,Detroit Pistons,43,Anthony Tolliver,PF,6-8,240,"June 1, 1985",US,7,Creighton
