Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2016,7,DAL,Dallas Mavericks,1,Justin Anderson,SF,6-6,230,1993-11-19,US,R,Virginia
2016,7,DAL,Dallas Mavericks,5,J.J. Barea,PG,5-10,180,1984-06-26,PR,9,Northeastern University
2016,7,DAL,Dallas Mavericks,21,Jeremy Evans,SF,6-9,200,1987-10-24,US,5,Western Kentucky
2016,7,DAL,Dallas Mavericks,2,Raymond Felton,PG,6-1,205,1984-06-26,US,10,UNC
2016,7,DAL,Dallas Mavericks,34,Devin Harris,PG,6-3,185,1983-02-27,US,11,Wisconsin
2016,7,DAL,Dallas Mavericks,12,John Jenkins,SG,6-4,215,1991-03-06,US,3,Vanderbilt
2016,7,DAL,Dallas Mavericks,42,David Lee,PF,6-9,245,1983-04-29,US,10,Florida
2016,7,DAL,Dallas Mavericks,23,Wesley Matthews,SF,6-4,220,1986-10-14,US,6,Marquette
2016,7,DAL,Dallas Mavericks,11,JaVale McGee,C,7-0,270,1988-01-19,US,7,Nevada
2016,7,DAL,Dallas Mavericks,50,Salah Mejri,C,7-2,235,1986-06-15,TN,R,
2016,7,DAL,Dallas Mavericks,41,Dirk Nowitzki,PF,7-0,245,1978-06-19,DE,17,
2016,7,DAL,Dallas Mavericks,27,Zaza Pachulia,C,6-11,270,1984-02-10,GE,12,
2016,7,DAL,Dallas Mavericks,25,Chandler Parsons,SF,6-9,230,1988-10-25,US,4,Florida
2016,7,DAL,Dallas Mavericks,7,Dwight Powell,PF,6-10,240,1991-07-20,CA,1,Stanford
2016,7,DAL,Dallas Mavericks,3,Charlie Villanueva,PF,6-11,232,1984-08-24,US,10,UConn
2016,7,DAL,Dallas Mavericks,8,Deron Williams,PG,6-3,200,1984-06-26,US,10,Illinois
