Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008,27.0,1816,SAS,San Antonio Spurs,Ian Mahinmi,"November 5, 1986",21.0,NBA,C,6,0,3.8,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,1.5,1.5,1.0,0.0,0.8,0.8,0.2,0.0,0.7,0.3,0.7,3.5
2010,27.0,1816,SAS,San Antonio Spurs,Ian Mahinmi,"November 5, 1986",23.0,NBA,C,26,0,6.3,1.3,2.1,0.636,0.0,0.0,,1.3,2.1,0.636,0.636,1.2,1.8,0.66,0.5,1.5,2.0,0.1,0.1,0.3,0.6,1.2,3.9
2011,7.0,1816,DAL,Dallas Mavericks,Ian Mahinmi,"November 5, 1986",24.0,NBA,C,56,0,8.7,1.0,1.8,0.561,0.0,0.0,0.0,1.0,1.7,0.573,0.561,1.1,1.5,0.768,0.8,1.4,2.1,0.1,0.3,0.3,0.4,1.9,3.1
2012,7.0,1816,DAL,Dallas Mavericks,Ian Mahinmi,"November 5, 1986",25.0,NBA,C,61,12,18.7,2.1,3.9,0.546,0.0,0.0,0.0,2.1,3.9,0.549,0.546,1.5,2.4,0.639,1.8,3.0,4.7,0.2,0.6,0.5,0.8,2.9,5.8
2013,12.0,1816,IND,Indiana Pacers,Ian Mahinmi,"November 5, 1986",26.0,NBA,C,80,2,16.5,1.9,4.1,0.453,0.0,0.0,0.0,1.9,4.1,0.456,0.453,1.3,2.1,0.608,1.4,2.5,3.9,0.3,0.5,0.8,1.2,2.5,5.0
2014,12.0,1816,IND,Indiana Pacers,Ian Mahinmi,"November 5, 1986",27.0,NBA,C,77,1,16.2,1.2,2.5,0.481,0.0,0.0,0.0,1.2,2.4,0.484,0.481,1.2,1.9,0.621,1.4,1.9,3.3,0.3,0.5,0.9,0.8,2.7,3.5
2015,12.0,1816,IND,Indiana Pacers,Ian Mahinmi,"November 5, 1986",28.0,NBA,C,61,6,18.8,1.9,3.5,0.552,0.0,0.0,,1.9,3.5,0.552,0.552,0.5,1.7,0.304,1.7,4.1,5.8,0.5,0.5,0.8,1.0,2.8,4.3
2016,12.0,1816,IND,Indiana Pacers,Ian Mahinmi,"November 5, 1986",29.0,NBA,C,71,71,25.6,3.7,6.3,0.589,0.0,0.0,,3.7,6.3,0.589,0.589,1.9,3.2,0.587,1.9,5.2,7.1,1.5,0.9,1.1,1.4,3.1,9.3
2017,30.0,1816,WAS,Washington Wizards,Ian Mahinmi,"November 5, 1986",30.0,NBA,C,31,0,17.9,2.1,3.6,0.586,0.0,0.0,,2.1,3.6,0.586,0.586,1.4,2.4,0.573,1.5,3.3,4.8,0.6,1.1,0.8,1.1,2.9,5.6
2018,30.0,1816,WAS,Washington Wizards,Ian Mahinmi,"November 5, 1986",31.0,NBA,C,77,0,14.9,1.8,3.2,0.556,0.0,0.0,0.0,1.8,3.2,0.561,0.556,1.2,1.7,0.703,1.8,2.3,4.1,0.7,0.5,0.5,1.3,3.0,4.8
2019,30.0,1816,WAS,Washington Wizards,Ian Mahinmi,"November 5, 1986",32.0,NBA,C,34,6,14.6,1.4,3.1,0.452,0.1,0.5,0.188,1.3,2.6,0.5,0.466,1.2,1.8,0.689,1.4,2.4,3.8,0.7,0.7,0.5,0.6,2.5,4.1
2020,30.0,1816,WAS,Washington Wizards,Ian Mahinmi,"November 5, 1986",33.0,NBA,C,38,35,21.3,2.7,5.5,0.495,0.1,0.7,0.192,2.6,4.8,0.538,0.507,1.8,3.0,0.619,2.1,3.7,5.7,1.3,0.8,1.2,1.2,3.0,7.4
