Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2002,6,CLE,Cleveland Cavaliers,12,Bimbo Coles,PG,6-1,180,1968-04-22,US,11,Virginia Tech
2002,6,CLE,Cleveland Cavaliers,31,Ricky Davis,SF,6-6,195,1979-09-23,US,3,Iowa
2002,6,CLE,Cleveland Cavaliers,52,DeSagana Diop,C,7-0,300,1982-01-30,SN,R,
2002,6,CLE,Cleveland Cavaliers,51,Michael Doleac,C,6-11,262,1977-06-15,US,3,Utah
2002,6,CLE,Cleveland Cavaliers,32,Tyrone Hill,PF,6-9,240,1968-03-19,US,11,Xavier
2002,6,CLE,Cleveland Cavaliers,11,Zydrunas Ilgauskas,C,7-3,238,1975-06-05,LT,3,
2002,6,CLE,Cleveland Cavaliers,33,Jumaine Jones,PF,6-8,218,1979-02-10,US,2,Georgia
2002,6,CLE,Cleveland Cavaliers,21,Trajan Langdon,SG,6-3,197,1976-05-13,US,2,Duke
2002,6,CLE,Cleveland Cavaliers,4,Chris Mihm,C,7-0,265,1979-07-16,US,1,Texas
2002,6,CLE,Cleveland Cavaliers,24,Andre Miller,PG,6-3,200,1976-03-19,US,2,Utah
2002,6,CLE,Cleveland Cavaliers,30,Lamond Murray,SF,6-7,236,1973-04-20,US,7,California
2002,6,CLE,Cleveland Cavaliers,1,Wesley Person,SG,6-6,195,1971-03-28,US,7,Auburn
2002,6,CLE,Cleveland Cavaliers,8,Brian Skinner,PF,6-9,255,1976-05-19,US,3,Baylor
2002,6,CLE,Cleveland Cavaliers,20,Bryant Stith,SG,6-5,208,1970-12-10,US,9,Virginia
2002,6,CLE,Cleveland Cavaliers,3,Jeff Trepagnier,SG,6-4,200,1979-07-11,US,R,USC
